step,sheep,wolves,mean_theta
0,15,10,0.5
1,15.51,9,0.6
2,16.0203,8,0.61
3,16.609,8,0.6389
4,17.4752,7,0.5437
5,18.4153,6,0.525
6,19.4061,6,0.6
7,20.717,6,0.4917
8,21.9341,5,0.625
9,23.1865,5,0.65
10,24.8166,5,0.54
11,26.3974,5,0.66
12,28.0353,5,0.69
13,29.8212,5,0.66
14,31.6716,5,0.69
15,33.602,5,0.71
16,35.687,5,0.69
17,37.9602,5,0.66
18,40.2948,5,0.7
19,42.8615,5,0.66
20,45.4975,5,0.7
21,48.3957,6,0.66
22,51.3987,6,0.69
23,54.6162,7,0.5667
24,57.5846,8,0.6917
25,60.3343,9,0.6786
26,63.3812,10,0.5625
27,65.8847,11,0.6111
28,68.5563,13,0.5405
29,70.6233,15,0.5773
30,71.6813,18,0.5945
31,71.5348,21,0.6184
32,70.8596,23,0.5527
33,69.2048,26,0.534
34,67.5053,28,0.4923
35,64.704,32,0.4947
36,60.5103,35,0.5351
37,54.9757,37,0.5439
38,48.9267,39,0.5455
39,42.9594,40,0.5454
40,37.0124,40,0.5558
41,32.0735,40,0.5305
42,27.9348,38,0.5205
43,24.3289,36,0.5206
44,21.6884,34,0.4989
45,19.6446,31,0.4905
46,17.8043,29,0.5179
47,16.6262,26,0.4873
48,15.7369,24,0.4811
49,15.2065,21,0.4675
50,14.8085,19,0.4779
51,14.66,17,0.4763
52,14.7888,16,0.4364
53,15.0651,14,0.4348
54,15.3623,13,0.4561
55,15.6312,12,0.5357
56,16.0079,11,0.5308
57,16.4025,10,0.5708
58,16.8519,9,0.6
59,17.4156,8,0.605
60,18.228,8,0.5389
61,19.2989,7,0.4688
62,20.3478,7,0.5188
63,21.409,6,0.6214
64,22.6314,6,0.5571
65,23.961,6,0.625
66,25.3292,6,0.65
67,26.7476,5,0.6667
68,28.2602,5,0.6583
69,30.0604,5,0.66
70,31.9091,5,0.7
71,33.9417,5,0.66
72,36.0478,5,0.69
73,38.3242,5,0.67
74,40.7022,5,0.69
75,43.2949,6,0.66
76,45.9814,6,0.69
77,49.0115,6,0.5167
78,51.7831,7,0.6583
79,54.9963,7,0.575
80,58.0156,8,0.5857
81,61.0411,9,0.6214
82,64.023,11,0.5813
83,66.1293,12,0.6778
84,68.1117,14,0.5787
85,70.0786,15,0.5388
86,71.6266,17,0.5059
87,72.6334,20,0.5209
88,72.9092,22,0.5145
89,72.5985,24,0.4739
90,71.598,27,0.4702
91,69.306,29,0.5
92,66.6931,32,0.4636
93,63.5993,34,0.4589
94,59.0112,36,0.489
95,54.4001,38,0.4763
96,49.6272,39,0.4741
97,44.786,39,0.4726
98,40.2192,39,0.4708
99,35.8747,39,0.4849
100,31.9594,38,0.4875
101,28.1198,37,0.5131
102,24.8807,35,0.5148
103,22.2611,32,0.5044
104,20.2088,30,0.4992
105,18.6792,28,0.4991
106,17.5838,25,0.4807
107,16.7752,23,0.474
108,16.3081,21,0.4649
109,15.9967,19,0.4707
110,15.965,17,0.4415
111,16.1742,15,0.4158
112,16.4305,14,0.45
113,16.7994,13,0.47
114,17.1673,11,0.5071
115,17.6566,11,0.5
116,18.2375,10,0.5545
117,18.7974,9,0.5727
118,19.4882,9,0.575
119,20.3544,8,0.5611
120,21.1584,7,0.6111
121,22.3084,7,0.5188
122,23.7172,7,0.4786
123,25.0062,6,0.5929
124,26.2827,6,0.6357
125,27.7979,6,0.6417
126,29.4617,6,0.6083
127,31.0629,6,0.6917
