step,sheep,wolves,mean_theta
0,17,10,0.5
1,17.952,8,0.4
2,19.0955,8,0.33
3,20.4275,7,0.3438
4,21.841,6,0.35
5,23.5086,6,0.3071
6,25.3293,5,0.3417
7,27.3329,5,0.3167
8,29.5551,4,0.34
9,32.0066,4,0.31
10,34.5736,4,0.45
11,37.1943,4,0.55
12,39.9318,4,0.6
13,42.9586,4,0.55
14,46.2621,4,0.525
15,49.7942,4,0.5375
16,53.4864,4,0.5875
17,57.5996,4,0.525
18,61.8706,5,0.5875
19,66.5604,5,0.55
20,71.2762,6,0.53
21,76.4045,7,0.51
22,81.4395,8,0.5167
23,86.3585,10,0.5143
24,91.0521,11,0.5188
25,95.0518,13,0.5097
26,99.2768,16,0.4591
27,102.8185,19,0.4498
28,104.9914,23,0.4481
29,105.865,27,0.4387
30,105.0163,32,0.4269
31,102.2699,37,0.4248
32,97.4595,43,0.4177
33,90.4659,49,0.422
34,81.8153,54,0.4136
35,71.3199,59,0.4235
36,59.821,62,0.4398
37,48.4651,63,0.4466
38,38.6368,62,0.444
39,30.6087,59,0.4441
40,24.6468,55,0.4322
41,20.2084,50,0.4316
42,16.936,46,0.4329
43,14.6441,41,0.4279
44,12.9661,36,0.4241
45,11.8313,32,0.4158
46,11.0683,28,0.4154
47,10.6241,25,0.3981
48,10.395,22,0.3947
49,10.3592,19,0.3761
50,10.5187,17,0.3496
51,10.8358,15,0.3342
52,11.2639,13,0.3235
53,11.8451,11,0.2933
54,12.567,10,0.2731
55,13.4159,9,0.2682
56,14.3738,8,0.26
57,15.4159,7,0.2778
58,16.5675,6,0.2875
59,17.8324,5,0.3071
60,19.2135,5,0.3417
61,20.8073,4,0.31
62,22.4989,4,0.34
63,24.4395,4,0.3125
64,26.5205,3,0.3375
65,28.8079,3,0.3125
66,31.2609,3,0.45
67,33.8196,3,0.55
68,36.5319,3,0.6
69,39.5823,3,0.5
70,42.8439,3,0.5333
71,46.3507,3,0.55
72,50.17,3,0.5333
73,54.304,3,0.5333
74,58.7787,3,0.5333
75,63.622,3,0.5333
76,68.7945,4,0.5667
77,74.5388,4,0.5
78,80.3529,5,0.5
79,86.4436,6,0.55
80,92.2353,8,0.6
81,97.6804,10,0.6207
82,103.0255,12,0.5145
83,107.1114,16,0.5486
84,110.0433,20,0.5502
85,110.8778,25,0.5251
86,110.3343,31,0.4768
87,107.2652,38,0.4648
88,101.3613,45,0.4547
89,92.5817,52,0.4465
90,82.1738,59,0.4291
91,68.8822,63,0.4576
92,56.7394,65,0.4257
93,45.7249,65,0.4244
94,36.2721,63,0.429
95,28.8389,59,0.4265
96,23.3012,55,0.4214
97,19.1947,50,0.4256
98,16.3092,45,0.4138
99,14.2666,40,0.4095
100,12.8071,36,0.4087
101,11.8051,32,0.4051
102,11.1043,28,0.4024
103,10.6664,25,0.3961
104,10.4569,21,0.3885
105,10.5686,19,0.3248
106,10.8326,17,0.3248
107,11.2188,14,0.3079
108,11.6989,13,0.3059
109,12.3476,11,0.2893
110,13.1206,10,0.2615
111,14.0285,8,0.2545
112,15.0688,7,0.235
113,16.2193,7,0.2687
114,17.4576,6,0.3071
115,18.7617,5,0.3286
116,20.2354,5,0.325
117,21.8917,4,0.33
118,23.6956,4,0.32
119,25.7263,4,0.325
120,27.931,3,0.325
121,30.3247,3,0.325
122,32.9402,3,0.4167
123,35.7088,3,0.4833
124,38.6709,3,0.5167
125,41.7935,3,0.5833
126,45.2373,3,0.5333
127,48.9898,3,0.5167
128,53.0265,3,0.5333
129,57.4251,3,0.5167
130,62.1569,3,0.5333
131,67.2444,3,0.55
132,72.7114,4,0.5667
133,78.5829,5,0.5833
134,84.5827,6,0.5375
135,90.1567,7,0.62
