step,sheep,wolves,mean_theta
0,15,9,0.5
1,15.84,8,0.4
2,16.8403,8,0.3722
3,18.0149,7,0.3438
4,19.2814,6,0.3375
5,20.7005,6,0.3429
6,22.3265,5,0.325
7,24.0925,4,0.3167
8,26.0645,4,0.33
9,28.2982,4,0.325
10,30.7234,4,0.325
11,33.3564,3,0.325
12,36.0315,3,0.45
13,38.9807,3,0.55
14,42.107,3,0.6
15,45.6692,3,0.4667
16,49.4072,3,0.55
17,53.3697,3,0.6
18,57.8554,3,0.4833
19,62.5909,4,0.55
20,67.6107,4,0.6
21,72.7356,5,0.55
22,78.1689,6,0.575
23,83.5782,7,0.56
24,88.6723,9,0.5917
25,93.4429,11,0.6
26,97.2454,13,0.5991
27,101.4977,16,0.4651
28,105.3594,19,0.4332
29,107.5231,22,0.4515
30,109.5361,26,0.3889
31,110.1576,30,0.3898
32,108.6227,35,0.3984
33,106.0146,40,0.3758
34,101.5821,45,0.3683
35,95.0604,51,0.3732
36,86.6507,57,0.3807
37,75.7498,61,0.4025
38,63.8609,65,0.4098
39,52.0337,66,0.425
40,40.5669,66,0.4481
41,31.7873,63,0.4358
42,25.1,58,0.4275
43,20.2744,53,0.4217
44,16.8002,48,0.4253
45,14.3095,43,0.4258
46,12.7232,38,0.3993
47,11.5335,34,0.4091
48,10.7403,30,0.4038
49,10.2507,26,0.3893
50,9.9844,23,0.3818
51,9.916,20,0.3736
52,10.0693,18,0.3341
53,10.4098,16,0.3008
54,10.8478,13,0.2926
55,11.4015,12,0.2781
56,12.109,10,0.2654
57,12.907,9,0.2583
58,13.8427,8,0.25
59,14.8616,7,0.2667
60,15.9635,6,0.2938
61,17.1999,6,0.2929
62,18.551,5,0.325
63,20.0184,4,0.3167
64,21.6569,4,0.33
65,23.5128,4,0.325
66,25.5279,3,0.325
67,27.7156,3,0.325
68,30.0756,3,0.45
69,32.5373,3,0.55
70,35.1468,3,0.6
71,38.0622,3,0.5167
72,41.1986,3,0.5333
73,44.6386,3,0.5
74,48.2678,3,0.5667
75,52.2716,3,0.5167
76,56.6075,3,0.5167
77,61.3654,3,0.4833
78,66.3544,3,0.5667
79,72.0044,4,0.45
80,77.898,4,0.55
81,83.6741,5,0.5875
82,90.0166,6,0.55
83,95.8992,8,0.63
84,101.6915,10,0.6
85,107.0507,13,0.5375
86,111.9588,16,0.4923
87,114.9619,20,0.5117
88,117.5293,24,0.4413
89,118.6932,29,0.4095
90,117.6951,36,0.4106
91,113.335,44,0.4296
92,104.7675,54,0.4434
93,91.5961,62,0.4664
94,76.2721,70,0.45
95,58.5563,75,0.4872
96,42.5476,75,0.4849
97,30.8954,72,0.4532
98,22.5373,66,0.4491
99,16.924,60,0.4407
100,13.1926,54,0.4414
101,10.6556,48,0.4429
102,8.8049,42,0.4608
103,7.5381,37,0.4619
104,6.652,32,0.4709
105,6.1054,28,0.4476
106,5.746,24,0.4513
107,5.5224,21,0.451
108,5.4824,18,0.4062
109,5.5151,16,0.4071
110,5.6908,14,0.3442
111,5.9377,12,0.3216
112,6.2705,10,0.2854
113,6.6768,9,0.2667
114,7.1646,8,0.245
115,7.684,7,0.2778
116,8.2453,6,0.3062
117,8.8612,5,0.3286
118,9.5622,4,0.3167
119,10.3448,4,0.33
120,11.2314,3,0.325
121,12.1939,3,0.325
122,13.2859,2,0.3167
123,14.4683,2,0.3333
124,15.8117,2,0.325
125,17.2798,2,0.325
126,18.8367,2,0.45
127,20.4925,2,0.55
128,22.3388,1,0.45
129,24.3024,1,0.55
130,26.6124,1,0.45
131,29.1126,1,0.55
132,31.8797,1,0.45
133,34.8748,1,0.55
134,38.1321,1,0.6
135,41.7356,1,0.5
136,45.6567,1,0.55
137,49.9964,1,0.45
138,54.6935,1,0.55
139,59.8921,1,0.45
140,65.519,1,0.55
141,71.6385,1,0.6
142,78.4083,1,0.5
143,85.7748,1,0.55
144,93.7862,1,0.6
145,102.7005,2,0.45
146,112.3492,2,0.55
147,122.1259,3,0.59
148,132.8607,4,0.55
149,143.37,6,0.6333
150,154.0798,9,0.575
151,163.6084,15,0.5781
152,170.4869,21,0.5854
153,174.2353,31,0.4728
154,173.3759,45,0.4543
155,163.0528,65,0.4679
156,139.3028,90,0.4963
157,102.4583,112,0.5098
158,60.5487,121,0.5142
159,29.455,117,0.498
160,13.2497,105,0.4885
161,6.2787,92,0.4865
162,3.4242,79,0.4802
163,2.1804,68,0.4578
164,1.5739,58,0.4352
165,1.2488,49,0.4099
166,1.0672,42,0.3846
167,0.9542,36,0.3821
168,0.8947,30,0.3514
169,0.8592,26,0.3526
170,0.8624,22,0.2919
171,0.8823,19,0.2689
172,0.9153,16,0.2587
173,0.9562,14,0.2648
174,1.0078,12,0.2613
175,1.0748,10,0.2179
176,1.1492,8,0.2333
177,1.2363,7,0.22
178,1.3327,6,0.25
179,1.441,5,0.2429
180,1.5582,5,0.2833
181,1.6866,4,0.32
182,1.8265,3,0.31
183,1.982,3,0.3375
184,2.1595,2,0.3167
185,2.3517,2,0.3333
186,2.5701,2,0.325
187,2.8087,1,0.325
188,3.0695,1,0.325
189,3.3663,1,0.3
190,3.69,1,0.35
191,4.0468,1,0.3
192,4.4403,1,0.25
193,4.8697,1,0.3
194,5.3433,1,0.25
