step,sheep,wolves,mean_theta
0,15,10,0.5
1,15.51,9,0.6
2,16.0629,8,0.585
3,16.8653,7,0.5056
4,17.6984,7,0.575
5,18.8063,6,0.4857
6,19.9526,6,0.5071
7,21.3333,5,0.4667
8,22.6336,5,0.5917
9,24.0504,5,0.68
10,25.5824,5,0.66
11,27.1698,5,0.69
12,28.9006,5,0.66
13,30.6938,5,0.69
14,32.649,5,0.66
15,34.6749,5,0.69
16,36.8837,5,0.66
17,39.1723,5,0.69
18,41.6676,5,0.66
19,44.3677,5,0.64
20,47.2427,6,0.64
21,50.2261,6,0.67
22,53.4255,7,0.55
23,56.5642,7,0.625
24,59.9807,8,0.5143
25,63.2406,8,0.5929
26,66.8865,9,0.4813
27,70.4114,11,0.5375
28,73.4696,12,0.5714
29,76.293,14,0.5088
30,78.0368,17,0.5844
31,78.6977,20,0.5944
32,78.8387,23,0.5252
33,78.2539,26,0.4883
34,76.4132,29,0.4882
35,73.1268,33,0.5
36,68.2654,37,0.5219
37,62.0806,41,0.5251
38,55.3236,44,0.5131
39,47.154,46,0.5492
40,39.2211,46,0.5542
41,32.3673,46,0.543
42,27.0085,44,0.5248
43,22.7155,41,0.5118
44,19.7074,38,0.4802
45,17.6507,34,0.4531
46,16.2465,31,0.4296
47,15.2221,28,0.436
48,14.4897,25,0.4344
49,13.9282,22,0.4505
50,13.5853,20,0.4532
51,13.5199,18,0.4331
52,13.6927,16,0.3964
53,13.97,14,0.4028
54,14.322,13,0.425
55,14.7538,12,0.4536
56,15.15,10,0.5115
57,15.5234,10,0.5708
58,16.1964,9,0.515
59,16.9697,8,0.475
60,17.9667,7,0.4167
61,18.9037,7,0.5437
62,20.1286,6,0.4571
63,21.444,6,0.45
64,22.8336,5,0.5333
65,24.3886,5,0.4833
66,26.1836,5,0.48
67,27.8803,5,0.64
68,29.6409,5,0.67
69,31.5943,5,0.62
70,33.5894,5,0.67
71,35.7106,5,0.67
72,37.9854,5,0.66
73,40.3842,5,0.67
74,42.9788,5,0.65
75,45.6929,5,0.67
76,48.6036,6,0.66
77,51.5927,6,0.7
78,54.7373,7,0.5917
79,57.8327,7,0.6583
80,61.1349,8,0.5571
81,64.3231,10,0.6214
82,67.3592,11,0.6
83,70.407,12,0.4977
84,72.8464,14,0.5401
85,74.4707,16,0.5887
86,75.56,19,0.5544
87,75.369,22,0.5825
88,74.095,25,0.5593
89,72.3277,28,0.5118
90,69.6228,31,0.4996
91,66.0822,34,0.4898
92,62.0627,37,0.4716
93,56.7951,39,0.4943
94,50.4257,41,0.5212
95,43.7433,42,0.542
96,37.6811,42,0.529
97,32.687,42,0.5033
98,28.0678,40,0.5223
99,24.302,38,0.5069
100,21.6358,35,0.4766
101,19.6202,32,0.4621
102,18.14,29,0.4557
103,17.1507,27,0.439
104,16.3694,24,0.4563
105,15.8218,22,0.4493
106,15.5244,19,0.45
107,15.3948,18,0.4477
108,15.5541,16,0.4289
109,15.7664,14,0.4361
110,16.1551,13,0.4281
111,16.6777,12,0.4393
112,17.1255,11,0.5115
113,17.5476,10,0.5708
114,18.0477,9,0.5909
115,18.7209,9,0.57
116,19.6354,8,0.5167
117,20.4974,8,0.5667
118,21.3747,7,0.65
119,22.2778,7,0.6562
120,23.5498,7,0.5571
121,24.7391,6,0.6429
122,26.0701,6,0.6
123,27.6304,6,0.6083
124,29.284,6,0.6083
125,31.0206,6,0.6167
126,32.7748,6,0.6583
127,34.5561,6,0.6917
