step,sheep,wolves,mean_theta
0,15,9,0.5
1,15.8565,8,0.39
2,16.8578,8,0.3722
3,17.9688,7,0.3875
4,19.1924,6,0.3625
5,20.5417,6,0.3857
6,22.0987,5,0.3667
7,23.7009,5,0.4167
8,25.5496,4,0.4
9,27.5846,4,0.37
10,29.8879,4,0.375
11,32.3178,4,0.425
12,34.9985,3,0.3875
13,37.9209,3,0.375
14,41.2125,3,0.4
15,44.835,3,0.3667
16,48.7514,3,0.3833
17,52.983,3,0.4
18,57.5819,3,0.4
19,62.58,3,0.4
20,68.012,3,0.4
21,73.9154,3,0.4
22,80.3313,3,0.4
23,87.304,3,0.4
24,94.882,4,0.4
25,103.0656,4,0.4167
26,111.6715,5,0.375
27,120.9347,6,0.3875
28,130.035,8,0.45
29,139.6771,10,0.3917
30,147.8832,14,0.4688
31,154.7006,21,0.49
32,157.0505,30,0.5507
33,155.3418,42,0.48
34,145.9793,57,0.4857
35,129.5537,74,0.46
36,105.7133,89,0.453
37,77.7014,97,0.4484
38,53.9923,97,0.4138
39,38.0997,93,0.3696
40,27.8699,86,0.3454
41,21.3219,77,0.3274
42,16.8518,69,0.3273
43,13.949,61,0.3214
44,11.999,53,0.3159
45,10.7571,46,0.3033
46,9.975,41,0.2962
47,9.5242,35,0.287
48,9.3032,31,0.2732
49,9.0925,27,0.3186
50,8.9966,23,0.3242
51,9.0253,20,0.3259
52,9.1932,18,0.3217
53,9.4451,16,0.33
54,9.787,13,0.3222
55,10.2436,12,0.3031
56,10.7834,10,0.3308
57,11.417,9,0.3125
58,12.1003,8,0.365
59,12.8511,7,0.3833
60,13.7262,6,0.3625
61,14.661,6,0.4143
62,15.7884,5,0.35
63,17.0026,5,0.35
64,18.3662,4,0.36
65,19.829,4,0.37
66,21.5175,3,0.3375
67,23.3023,3,0.3875
68,25.3506,3,0.3667
69,27.565,3,0.3833
70,29.988,2,0.3667
71,32.6074,2,0.3833
72,35.5633,2,0.425
73,38.8066,2,0.4
74,42.3671,2,0.375
75,46.2543,2,0.375
76,50.4982,2,0.375
77,55.2147,2,0.3
78,60.311,2,0.35
79,65.8114,2,0.4
80,71.8857,2,0.35
81,78.4417,2,0.4
82,85.6819,2,0.35
83,93.4961,2,0.4
84,102.0229,2,0.4
85,111.3835,3,0.375
86,121.4805,3,0.425
87,132.0918,4,0.3833
88,143.4847,5,0.4167
89,154.6765,7,0.5
90,166.8263,10,0.39
91,178.0037,14,0.4286
92,186.895,21,0.455
93,192.4271,33,0.4571
94,190.1853,50,0.4833
95,176.6308,74,0.4718
96,147.3719,102,0.483
97,105.6141,123,0.4709
98,62.6999,127,0.4513
99,35.8643,121,0.3902
100,22.408,109,0.3402
101,14.5551,97,0.3384
102,10.479,84,0.317
103,8.5414,73,0.267
104,7.0561,64,0.2964
105,5.9338,55,0.3226
106,5.2576,47,0.3039
107,4.887,41,0.2818
108,4.701,35,0.267
109,4.5894,30,0.2744
110,4.4854,26,0.3186
111,4.5096,22,0.2867
112,4.5588,19,0.3115
113,4.6737,16,0.3091
114,4.8377,14,0.3105
115,5.0421,12,0.3281
116,5.2968,11,0.3214
117,5.5963,9,0.3292
118,5.9405,8,0.3182
119,6.3417,7,0.3278
120,6.7945,6,0.325
121,7.2946,5,0.3429
122,7.8556,5,0.35
123,8.4942,4,0.34
124,9.1708,3,0.37
125,9.9416,3,0.3625
126,10.8319,3,0.3167
127,11.784,2,0.3667
128,12.8263,2,0.35
129,14.0031,2,0.375
130,15.3033,2,0.325
131,16.7242,1,0.325
132,18.277,1,0.325
133,20.0344,1,0.35
134,21.9717,1,0.3
135,24.0843,1,0.35
136,26.3867,1,0.4
137,28.9238,1,0.35
138,31.6889,1,0.4
139,34.7358,1,0.35
140,38.0566,1,0.4
141,41.7157,1,0.35
142,45.7496,1,0.3
143,50.1484,1,0.35
144,54.9978,1,0.3
145,60.2858,1,0.35
146,66.0491,1,0.4
147,72.3998,1,0.35
148,79.3212,1,0.4
149,86.9479,1,0.35
150,95.2601,1,0.4
151,104.4194,1,0.35
152,114.4019,1,0.4
153,125.4016,1,0.35
154,137.39,1,0.4
155,150.6001,1,0.35
156,165.1631,1,0.3
157,181.0435,2,0.35
158,198.3513,3,0.4
159,216.0046,5,0.5
160,233.6845,8,0.55
161,251.5263,14,0.43
162,266.5802,23,0.4563
163,275.9078,43,0.4221
164,269.9317,76,0.4809
165,239.0245,132,0.4535
166,163.3828,192,0.4982
167,63.4056,201,0.4903
168,14.7095,179,0.411
169,5.6955,154,0.3224
170,3.12,132,0.2804
171,2.0592,112,0.2597
172,1.5516,96,0.2386
173,1.269,82,0.229
174,1.102,70,0.2193
175,0.971,59,0.2427
176,0.8614,50,0.2764
177,0.7912,43,0.2797
178,0.7328,37,0.316
179,0.7062,31,0.2884
180,0.6871,27,0.3122
181,0.6779,23,0.3323
182,0.6823,19,0.3148
183,0.6928,16,0.3348
184,0.7171,14,0.3105
185,0.7454,12,0.3438
186,0.7859,10,0.2964
187,0.8295,9,0.3375
188,0.8842,7,0.31
189,0.9463,6,0.3
190,1.0175,5,0.3214
191,1.0997,5,0.2917
192,1.1915,4,0.3
193,1.2923,3,0.28
194,1.4073,3,0.25
195,1.5341,2,0.3
196,1.6732,2,0.2833
197,1.8286,2,0.325
198,1.9984,2,0.325
199,2.1839,1,0.325
200,2.3867,1,0.325
201,2.6162,1,0.35
202,2.8663,1,0.4
203,3.1418,1,0.35
204,3.4457,1,0.3
205,3.777,0,0.35
206,4.1422,0,0.3
207,4.5564,0,0.0
208,5.0121,0,0.0
209,5.5133,0,0.0
210,6.0646,0,0.0
211,6.671,0,0.0
212,7.3382,0,0.0
213,8.072,0,0.0
214,8.8792,0,0.0
215,9.7671,0,0.0
216,10.7438,0,0.0
217,11.8182,0,0.0
218,13.0,0,0.0
219,14.3,0,0.0
220,15.73,0,0.0
221,17.303,0,0.0
222,19.0333,0,0.0
223,20.9366,0,0.0
224,23.0303,0,0.0
225,25.3333,0,0.0
226,27.8666,0,0.0
227,30.6533,0,0.0
228,33.7186,0,0.0
229,37.0905,0,0.0
230,40.7995,0,0.0
231,44.8795,0,0.0
232,49.3674,0,0.0
233,54.3042,0,0.0
234,59.7346,0,0.0
235,65.708,0,0.0
236,72.2789,0,0.0
237,79.5067,0,0.0
238,87.4574,0,0.0
239,96.2032,0,0.0
240,105.8235,0,0.0
241,116.4058,0,0.0
242,128.0464,0,0.0
243,140.851,0,0.0
244,154.9361,0,0.0
245,170.4298,0,0.0
246,187.4727,0,0.0
247,206.22,0,0.0
248,226.842,0,0.0
249,249.5262,0,0.0
250,274.4788,0,0.0
251,301.9267,0,0.0
252,332.1194,0,0.0
253,365.3313,0,0.0
254,401.8645,0,0.0
255,442.0509,0,0.0
256,486.256,0,0.0
257,534.8816,0,0.0
258,588.3697,0,0.0
259,647.2067,0,0.0
260,711.9274,0,0.0
261,783.1201,0,0.0
262,861.4321,0,0.0
263,947.5754,0,0.0
264,1000,0,0.0
265,1000,0,0.0
266,1000,0,0.0
267,1000,0,0.0
268,1000,0,0.0
269,1000,0,0.0
270,1000,0,0.0
271,1000,0,0.0
272,1000,0,0.0
273,1000,0,0.0
274,1000,0,0.0
275,1000,0,0.0
276,1000,0,0.0
277,1000,0,0.0
278,1000,0,0.0
279,1000,0,0.0
280,1000,0,0.0
281,1000,0,0.0
282,1000,0,0.0
283,1000,0,0.0
284,1000,0,0.0
285,1000,0,0.0
286,1000,0,0.0
287,1000,0,0.0
288,1000,0,0.0
289,1000,0,0.0
290,1000,0,0.0
291,1000,0,0.0
292,1000,0,0.0
293,1000,0,0.0
294,1000,0,0.0
295,1000,0,0.0
296,1000,0,0.0
297,1000,0,0.0
298,1000,0,0.0
299,1000,0,0.0
300,1000,0,0.0
301,1000,0,0.0
302,1000,0,0.0
303,1000,0,0.0
304,1000,0,0.0
305,1000,0,0.0
306,1000,0,0.0
307,1000,0,0.0
308,1000,0,0.0
309,1000,0,0.0
310,1000,0,0.0
311,1000,0,0.0
312,1000,0,0.0
313,1000,0,0.0
314,1000,0,0.0
315,1000,0,0.0
316,1000,0,0.0
317,1000,0,0.0
318,1000,0,0.0
319,1000,0,0.0
320,1000,0,0.0
321,1000,0,0.0
322,1000,0,0.0
323,1000,0,0.0
324,1000,0,0.0
325,1000,0,0.0
326,1000,0,0.0
327,1000,0,0.0
328,1000,0,0.0
329,1000,0,0.0
330,1000,0,0.0
331,1000,0,0.0
332,1000,0,0.0
333,1000,0,0.0
334,1000,0,0.0
335,1000,0,0.0
336,1000,0,0.0
337,1000,0,0.0
338,1000,0,0.0
339,1000,0,0.0
340,1000,0,0.0
341,1000,0,0.0
342,1000,0,0.0
343,1000,0,0.0
344,1000,0,0.0
345,1000,0,0.0
346,1000,0,0.0
347,1000,0,0.0
348,1000,0,0.0
349,1000,0,0.0
350,1000,0,0.0
351,1000,0,0.0
352,1000,0,0.0
353,1000,0,0.0
354,1000,0,0.0
355,1000,0,0.0
356,1000,0,0.0
357,1000,0,0.0
358,1000,0,0.0
359,1000,0,0.0
360,1000,0,0.0
