step,sheep,wolves,mean_theta
0,14,9,0.5
1,14.707,9,0.45
2,15.5306,8,0.4444
3,16.3918,7,0.45
4,17.4539,6,0.4
5,18.5946,6,0.45
6,19.9631,5,0.4
7,21.3665,5,0.45
8,22.9979,4,0.43
9,24.7285,4,0.45
10,26.7253,4,0.4375
11,28.8686,4,0.45
12,31.2474,3,0.4
13,33.7535,3,0.45
14,36.6833,3,0.4
15,39.8068,3,0.45
16,43.2621,3,0.4
17,46.9458,3,0.45
18,50.8658,3,0.5
19,55.1971,3,0.45
20,59.9882,3,0.4
21,65.0961,3,0.45
22,70.7465,3,0.4
23,76.7706,3,0.45
24,83.3076,4,0.45
25,90.4012,4,0.45
26,97.7707,5,0.42
27,105.6119,6,0.45
28,110,7,0.42
29,110,7,0.35
30,110,8,0.3
31,110,9,0.3286
32,110,10,0.2812
33,110,11,0.2944
34,110,12,0.31
35,110,13,0.3045
36,110,15,0.3333
37,110,17,0.3346
38,110,19,0.342
39,110,22,0.3529
40,110,25,0.3395
41,110,28,0.3523
42,110,33,0.354
43,108.7185,39,0.3625
44,103.1108,48,0.4176
45,92.212,55,0.4795
46,79.2193,63,0.4563
47,64.5455,67,0.4715
48,50.2965,69,0.4629
49,38.1031,68,0.4646
50,29.5489,64,0.4275
51,23.7441,59,0.3963
52,19.3538,53,0.4047
53,16.6481,48,0.3695
54,14.5771,43,0.3849
55,12.9241,38,0.4042
56,12.0058,33,0.3616
57,11.2915,29,0.3816
58,10.9177,26,0.3667
59,10.7965,23,0.3483
60,10.7657,20,0.3596
61,10.8949,18,0.3478
62,11.1275,15,0.3575
63,11.4018,14,0.3806
64,11.7456,12,0.4233
65,12.2483,11,0.3714
66,12.8264,10,0.4
67,13.4248,8,0.4409
68,14.1692,8,0.405
69,15.0406,7,0.4375
70,16.0152,6,0.4
71,17.0618,5,0.45
72,18.3176,5,0.4
73,19.696,5,0.45
74,21.2323,4,0.4
75,22.83,4,0.45
76,24.5982,4,0.5125
77,26.5709,3,0.45
78,28.7604,3,0.4
79,31.2093,3,0.45
80,33.9183,3,0.4
81,36.8064,3,0.45
82,40.0012,3,0.4
83,43.4074,3,0.45
84,47.1751,3,0.4
85,51.1921,3,0.45
86,55.4666,3,0.5
87,60.1896,3,0.45
88,65.4141,3,0.4
89,70.9841,3,0.45
90,77.1455,3,0.4
91,83.7144,3,0.45
92,90.9808,4,0.4
93,98.7278,4,0.45
94,106.4829,5,0.4875
95,110,6,0.5
96,110,7,0.354
97,110,7,0.2833
98,110,8,0.2857
99,110,9,0.3
100,110,10,0.2875
101,110,11,0.3389
102,110,12,0.31
103,110,14,0.3318
104,110,15,0.3167
105,110,17,0.3036
106,110,18,0.33
107,110,20,0.2912
108,110,22,0.2917
109,110,25,0.3225
110,110,28,0.3159
111,109.989,32,0.364
112,109.4336,38,0.3411
113,105.4502,45,0.3875
114,97.3432,52,0.4232
115,86.5614,58,0.4258
116,74.2031,64,0.4244
117,61.1359,67,0.4328
118,48.3726,67,0.4386
119,38.0291,66,0.4258
120,29.9308,62,0.4246
121,24.6929,57,0.3788
122,20.3037,52,0.4073
123,16.9404,47,0.4237
124,15.0753,42,0.3673
125,13.5316,37,0.3915
126,12.4287,33,0.3929
127,11.7713,29,0.3757
128,11.4011,26,0.3621
129,11.1428,23,0.3845
130,11.0865,20,0.3673
131,11.1586,18,0.3696
132,11.3784,16,0.365
133,11.6401,14,0.3889
134,12.0167,12,0.3844
135,12.498,11,0.3893
136,13.0535,10,0.4208
137,13.6768,9,0.4318
138,14.4201,8,0.415
139,15.2356,7,0.4389
140,16.2145,6,0.4062
141,17.3098,6,0.4214
142,18.5647,5,0.4167
143,19.8903,5,0.4333
144,21.4198,4,0.42
145,23.0552,4,0.43
146,24.9423,4,0.4125
147,26.9564,3,0.4375
148,29.1628,3,0.4125
149,31.662,3,0.4333
150,34.3929,3,0.4167
151,37.3403,3,0.4333
152,40.5609,3,0.4167
153,44.037,3,0.4333
154,47.6899,3,0.5167
155,51.6982,3,0.4833
156,56.0719,3,0.4667
157,60.7847,3,0.4833
158,65.9271,3,0.4667
159,71.5771,3,0.4333
160,77.7506,3,0.4167
161,84.2855,3,0.4833
162,91.5551,4,0.4167
163,99.4014,4,0.4333
164,107.5374,5,0.4125
165,110,6,0.4375
166,110,7,0.41
167,110,8,0.3417
168,110,9,0.3643
169,110,10,0.3438
170,110,11,0.3167
171,110,12,0.305
172,110,14,0.3136
173,110,15,0.3125
174,110,17,0.2929
175,110,19,0.3233
176,110,21,0.3206
177,110,24,0.3368
178,110,27,0.3286
179,110,29,0.3375
180,110,33,0.2926
181,109.6865,38,0.3224
182,105.5974,45,0.3782
183,96.7473,53,0.4397
184,85.2653,61,0.4418
185,71.0379,67,0.4577
186,55.7151,70,0.4705
187,42.2693,70,0.4631
188,32.3614,66,0.4343
189,25.9684,61,0.3864
190,20.7527,56,0.4144
191,17.8857,50,0.3549
192,15.3164,45,0.3955
193,13.6722,40,0.377
194,12.4526,35,0.3822
195,11.7185,31,0.3612
196,11.2275,27,0.3686
197,11.0226,24,0.3468
198,10.9245,21,0.3667
199,10.9775,19,0.3604
200,11.1092,16,0.381
201,11.4564,14,0.3289
202,11.8396,13,0.3781
203,12.3399,11,0.375
204,12.8205,10,0.4269
205,13.4468,9,0.4227
206,14.1554,8,0.43
207,14.9793,7,0.4222
208,15.9252,7,0.4188
209,17.0097,6,0.4143
210,18.1587,5,0.4214
