step,sheep,wolves,mean_theta
0,14,9,0.5
1,15.2261,8,0.1129
2,16.5655,7,0.1216
3,18.0312,6,0.1309
4,19.6388,5,0.1408
5,21.4063,5,0.1515
6,23.3552,4,0.1629
7,25.4657,3,0.1751
8,27.8016,3,0.188
9,30.3967,3,0.2018
10,33.2192,3,0.2165
11,36.2868,2,0.2319
12,39.6185,2,0.2481
13,43.3495,2,0.2648
14,47.4149,2,0.2827
15,51.8422,2,0.3012
16,56.6611,2,0.3203
17,61.9034,2,0.34
18,67.6033,2,0.3601
19,73.7975,2,0.3806
20,80.5254,2,0.4015
21,87.8292,2,0.4226
22,95.7542,2,0.444
23,104.3493,3,0.4654
24,110,3,0.4868
25,110,4,0.5
26,110,5,0.5
27,110,6,0.5
28,110,8,0.5
29,110,10,0.5
30,110,13,0.5
31,110,16,0.5
32,110,20,0.5
33,110,26,0.5
34,108.9,32,0.5
35,104.2955,40,0.4975
36,96.8577,47,0.4867
37,86.5886,54,0.4682
38,75.5298,58,0.4405
39,64.8182,60,0.4071
40,55.967,60,0.3708
41,49.1075,58,0.3372
42,44.0148,55,0.3086
43,40.3911,51,0.2858
44,37.8671,47,0.2686
45,36.2136,43,0.2561
46,35.1979,40,0.2477
47,34.6818,36,0.2424
48,34.492,33,0.2397
49,34.6807,30,0.2387
50,35.1311,27,0.2397
51,35.8378,25,0.2421
52,36.806,23,0.2457
53,37.949,21,0.2507
54,39.2812,20,0.2565
55,40.8216,18,0.2631
56,42.4731,17,0.2707
57,44.3778,16,0.2786
58,46.43,16,0.2875
59,48.6475,15,0.2968
60,50.8869,15,0.3066
61,53.3199,14,0.3163
62,55.7796,14,0.3265
63,58.4673,14,0.3365
64,61.1891,14,0.3471
65,63.9399,14,0.3574
66,66.7142,14,0.3676
67,69.5069,15,0.3775
68,72.3129,16,0.3872
69,74.8116,17,0.3966
70,76.9628,19,0.4048
71,78.7347,21,0.4116
72,79.7433,23,0.4172
73,79.976,25,0.4203
74,79.4555,28,0.421
75,78.2373,30,0.4194
76,76.0455,33,0.4156
77,73.3926,35,0.4087
78,70.0701,37,0.4002
79,66.5796,38,0.3891
80,63.0202,39,0.3771
81,59.7274,39,0.3642
82,56.6833,39,0.3519
83,54.0822,39,0.3401
84,51.8432,39,0.3296
85,49.9031,37,0.3203
86,48.2122,36,0.3121
87,47.0539,34,0.3047
88,46.1766,33,0.2996
89,45.6881,31,0.2957
90,45.3899,29,0.2935
91,45.4077,28,0.2921
92,45.7162,27,0.2922
93,46.1539,25,0.2936
94,46.7178,24,0.2956
95,47.5597,23,0.2981
96,48.5257,22,0.3019
97,49.6202,22,0.3061
98,50.8493,21,0.3109
99,52.0441,20,0.3161
100,53.3873,20,0.3212
101,54.8883,20,0.3268
102,56.3574,20,0.3329
103,57.7928,20,0.3388
104,59.1929,20,0.3444
105,60.5562,20,0.3499
106,61.8817,20,0.3551
107,63.1685,20,0.36
108,64.4159,20,0.3648
109,65.6237,21,0.3693
110,66.7914,22,0.3737
111,67.6416,23,0.3778
112,68.1727,24,0.3808
113,68.3906,25,0.3826
114,68.3078,26,0.3834
115,67.9424,27,0.3831
116,67.3172,28,0.3818
117,66.4586,29,0.3796
118,65.3953,30,0.3766
119,64.1568,31,0.3728
120,62.7732,32,0.3684
121,61.2732,32,0.3633
122,59.6845,33,0.3578
123,58.2633,33,0.3517
124,56.7663,33,0.3463
125,55.4287,33,0.3404
126,54.2299,33,0.3351
127,53.1526,32,0.3302
128,52.1821,31,0.3258
129,51.4903,30,0.3218
130,51.041,29,0.3188
131,50.8066,29,0.3169
132,50.7666,28,0.3159
133,50.7294,27,0.3158
134,50.8709,26,0.3156
135,51.1803,25,0.3162
136,51.6504,25,0.3175
137,52.277,24,0.3195
138,52.8734,24,0.3221
139,53.6294,23,0.3246
140,54.352,23,0.3277
141,55.2397,23,0.3307
142,56.0916,22,0.3343
143,56.9082,22,0.3377
144,57.9034,22,0.341
145,58.8613,22,0.3449
146,59.7822,22,0.3486
147,60.6663,22,0.3521
148,61.5142,22,0.3555
149,62.3266,23,0.3587
150,63.104,23,0.3617
151,63.5944,24,0.3645
152,64.0596,24,0.3663
153,64.2415,25,0.368
154,64.4127,26,0.3687
155,64.3122,26,0.3693
156,63.9572,27,0.3689
157,63.6278,28,0.3677
158,63.0654,28,0.3665
159,62.2937,29,0.3644
160,61.5861,29,0.3616
161,60.6933,30,0.3589
162,59.8784,30,0.3556
163,58.9013,30,0.3525
164,58.013,30,0.3487
165,57.204,30,0.3453
166,56.466,30,0.3421
167,55.792,30,0.3392
168,55.1754,30,0.3365
169,54.6108,30,0.334
170,54.0931,29,0.3318
171,53.6179,29,0.3296
172,53.3746,28,0.3277
173,53.1495,28,0.3267
174,53.1315,27,0.3258
175,53.1148,26,0.3257
176,53.2895,26,0.3256
177,53.6446,25,0.3264
178,53.9796,25,0.3278
179,54.491,25,0.3292
180,54.976,24,0.3313
181,55.4356,24,0.3332
182,56.0752,24,0.3351
183,56.6842,24,0.3376
184,57.2636,24,0.3401
185,57.8143,24,0.3424
186,58.3375,24,0.3445
187,58.8339,24,0.3466
188,59.3048,24,0.3485
189,59.7511,24,0.3503
190,60.1737,24,0.352
191,60.5738,24,0.3536
192,60.9523,24,0.3551
193,61.3102,24,0.3565
194,61.6485,25,0.3579
195,61.968,25,0.3592
196,62.0241,26,0.3603
197,62.0766,26,0.3606
198,61.8796,26,0.3608
199,61.6961,27,0.36
200,61.5252,27,0.3593
201,61.1233,28,0.3587
202,60.7514,28,0.3572
203,60.1692,28,0.3558
204,59.6334,29,0.3536
205,59.1399,29,0.3515
206,58.4575,29,0.3497
207,57.8321,29,0.347
208,57.2583,29,0.3446
209,56.7313,29,0.3423
210,56.2467,29,0.3403
211,55.8007,29,0.3383
212,55.39,29,0.3366
213,55.0114,28,0.3349
214,54.6622,28,0.3334
215,54.5395,28,0.332
216,54.4254,27,0.3315
217,54.3193,27,0.331
218,54.4181,26,0.3306
219,54.5107,26,0.331
220,54.796,26,0.3314
221,55.0646,25,0.3325
222,55.3175,25,0.3336
223,55.759,25,0.3346
224,56.1768,25,0.3364
225,56.572,24,0.3381
226,56.9456,24,0.3396
227,57.5121,24,0.3411
228,58.0504,24,0.3433
229,58.5616,24,0.3454
230,59.0465,24,0.3474
231,59.5063,24,0.3493
232,59.942,24,0.3511
233,60.3545,24,0.3527
234,60.7449,24,0.3543
235,61.1141,25,0.3558
236,61.4631,25,0.3572
237,61.5506,25,0.3585
238,61.6326,26,0.3588
239,61.7095,26,0.3591
240,61.5378,27,0.3594
241,61.3777,27,0.3587
242,60.9868,27,0.3581
243,60.625,28,0.3567
244,60.2899,28,0.3553
245,59.7446,28,0.354
246,59.2424,28,0.352
247,58.7794,28,0.35
248,58.3524,29,0.3483
249,57.9582,29,0.3466
250,57.3741,29,0.3451
251,56.8376,29,0.3428
252,56.3445,29,0.3407
253,55.8908,29,0.3387
254,55.473,29,0.3369
255,55.0879,28,0.3352
256,54.7328,28,0.3337
257,54.6051,27,0.3323
258,54.4863,27,0.3317
259,54.5745,27,0.3313
260,54.657,26,0.3316
261,54.7342,26,0.3319
262,55.0065,26,0.3323
263,55.2627,25,0.3334
264,55.5039,25,0.3344
265,55.9354,25,0.3354
266,56.3437,25,0.3371
267,56.7298,25,0.3387
268,57.0947,24,0.3403
269,57.4392,24,0.3417
270,57.9812,24,0.343
271,58.4959,24,0.3452
272,58.9842,24,0.3472
273,59.4473,24,0.3491
274,59.886,24,0.3508
275,60.3015,24,0.3525
276,60.6947,24,0.3541
277,61.0667,25,0.3556
278,61.4183,25,0.357
279,61.5085,26,0.3583
