step,sheep,wolves,mean_theta
0,16,9,0.5
1,17.0192,8,0.33
2,18.1314,8,0.35
3,19.3263,7,0.3875
4,20.6636,6,0.35
5,22.0936,6,0.4
6,23.7926,5,0.35
7,25.596,5,0.3667
8,27.6629,4,0.35
9,29.9119,4,0.34
10,32.4425,4,0.35
11,35.0443,4,0.45
12,37.7007,4,0.55
13,40.4547,4,0.6125
14,43.321,4,0.6625
15,46.2949,4,0.7125
16,49.3712,5,0.7625
17,52.5433,5,0.8125
18,55.5436,6,0.78
19,58.9901,7,0.69
20,62.0015,9,0.7417
21,64.3824,10,0.8
22,66.8546,12,0.6222
23,68.9438,14,0.625
24,70.2641,16,0.6125
25,71.1846,18,0.5643
26,71.154,21,0.5706
27,70.2076,24,0.5722
28,67.7679,27,0.5833
29,65.0775,29,0.5292
30,62.3651,31,0.477
31,60.0264,32,0.431
32,56.8873,33,0.4466
33,54.4099,34,0.4078
34,51.9805,34,0.3985
35,49.7453,34,0.3824
36,48.4544,34,0.3368
37,46.211,33,0.3912
38,44.3256,32,0.3765
39,43.1509,30,0.3485
40,42.3397,29,0.3375
41,41.5437,28,0.36
42,40.8312,27,0.3672
43,40.4903,26,0.3518
44,40.3081,25,0.3519
45,40.2597,24,0.3538
46,39.9457,23,0.392
47,40.0735,22,0.3667
48,40.0254,22,0.4
49,39.8894,21,0.4273
50,39.9731,20,0.4045
51,40.5847,20,0.3667
52,41.228,19,0.3825
53,41.4733,19,0.4275
54,42.3131,19,0.3816
55,42.7278,18,0.4316
56,43.311,18,0.4132
57,44.1881,18,0.4028
58,44.9857,17,0.4139
59,46.144,17,0.375
60,47.1292,17,0.4206
61,47.8244,17,0.4559
62,48.7665,17,0.4294
63,49.8077,17,0.4206
64,51.0628,17,0.4
65,51.7879,17,0.4588
66,52.5803,18,0.4529
67,53.2402,18,0.4676
68,54.0255,19,0.4306
69,54.7332,19,0.4389
70,55.402,19,0.42
71,56.6763,20,0.3684
72,57.6369,21,0.3974
73,57.7263,21,0.4475
74,58.0698,22,0.4071
75,58.2875,22,0.4167
76,58.4227,23,0.4036
77,58.7382,24,0.3909
78,58.4093,24,0.4174
79,58.2428,25,0.3896
80,57.6604,25,0.4167
81,57.1155,26,0.398
82,56.7014,26,0.39
83,56.5211,26,0.3608
84,56.0865,26,0.3765
85,55.8649,26,0.3635
86,56.1973,26,0.3288
87,55.7899,26,0.375
88,55.5695,26,0.3635
89,55.0749,27,0.3808
90,54.403,27,0.3923
91,53.4999,27,0.3926
92,53.1415,27,0.3593
93,52.9608,27,0.3481
94,52.169,27,0.387
95,51.59,27,0.3741
96,51.0173,27,0.3741
97,50.1985,27,0.3907
98,49.7241,27,0.3685
99,49.1995,26,0.3722
100,49.3299,26,0.3278
101,48.7281,25,0.3923
102,48.6428,25,0.3558
103,48.0761,25,0.406
104,47.0665,25,0.44
105,46.5182,25,0.406
106,45.5413,25,0.44
107,44.9607,25,0.41
108,44.3627,24,0.412
109,44.0411,24,0.39
110,44.1578,23,0.3687
111,43.8376,23,0.4062
112,43.4475,23,0.4304
113,43.3236,23,0.4065
114,42.8427,22,0.4391
115,42.8149,22,0.3978
116,42.6458,21,0.4295
117,42.665,21,0.4114
118,43.3647,20,0.3619
119,43.575,20,0.4119
120,44.026,20,0.4075
121,44.4332,19,0.4125
122,45.1375,19,0.3825
123,46.0019,19,0.3868
124,46.9081,18,0.3842
125,47.8064,18,0.3868
126,48.5116,18,0.4306
127,49.5473,18,0.3972
128,50.9594,18,0.3611
129,51.9633,18,0.4056
130,52.9298,18,0.4111
131,53.9143,18,0.4111
132,55.3915,18,0.3667
133,56.3609,19,0.4167
134,57.0992,19,0.4389
135,57.8158,20,0.4184
136,58.3506,21,0.4342
137,58.6978,21,0.4275
138,59.3053,22,0.3881
139,59.5277,23,0.4167
140,59.3581,23,0.425
141,59.2085,24,0.4052
142,59.1049,25,0.4022
143,58.6113,26,0.4104
144,57.6706,26,0.422
145,57.0622,26,0.3865
146,56.8368,26,0.3635
147,56.7373,26,0.3558
148,56.5132,27,0.3635
149,56.1346,27,0.3731
150,55.635,27,0.3667
151,54.895,27,0.3815
152,54.1951,27,0.3796
153,53.534,27,0.3778
154,53.1458,27,0.3611
155,52.4682,27,0.3796
156,51.9435,27,0.3704
157,52.0812,27,0.3278
158,51.7322,27,0.3593
159,51.2434,27,0.3685
160,51.0691,26,0.3481
161,50.418,26,0.3796
162,49.9416,26,0.3827
163,50.0464,25,0.3423
164,49.7937,25,0.3673
165,49.4601,25,0.388
166,48.7751,25,0.414
167,48.4483,25,0.388
168,47.7773,25,0.414
169,47.0893,25,0.416
170,46.8515,24,0.382
171,46.6406,24,0.38
172,46.5334,24,0.3875
173,46.2216,24,0.4042
174,45.9119,23,0.4042
175,45.8568,23,0.3833
176,45.8775,23,0.3935
177,45.5196,23,0.4261
178,45.1896,22,0.4239
179,45.2348,22,0.3913
180,45.1307,22,0.4227
181,44.9773,22,0.4273
182,44.9233,21,0.4182
183,45.2153,21,0.3864
184,45.3103,21,0.4238
185,45.3805,21,0.4262
186,45.5756,21,0.4143
187,45.897,21,0.4024
188,45.9933,20,0.4238
189,46.267,20,0.4071
190,46.695,20,0.4125
191,46.9728,20,0.4275
192,47.6657,20,0.3875
193,48.0017,20,0.4225
194,48.8153,19,0.3775
195,49.6964,19,0.3725
196,50.7575,19,0.3763
197,51.3665,19,0.4211
198,52.1242,19,0.4079
199,52.6924,19,0.4263
200,53.4696,19,0.4079
201,54.2877,20,0.4053
202,55.0287,20,0.4132
203,56.0219,20,0.3725
204,56.9099,21,0.3825
205,57.3737,21,0.4175
206,58.0622,21,0.381
207,58.727,22,0.3833
208,58.9149,23,0.419
209,58.9414,23,0.4114
210,58.8707,24,0.4
211,58.962,24,0.3891
212,58.5864,25,0.4029
213,57.9683,26,0.4188
214,57.4524,26,0.396
215,57.671,26,0.3363
216,57.3322,26,0.3702
217,57.0742,26,0.3654
218,57.0685,26,0.35
219,56.9372,26,0.3577
220,56.7749,26,0.3596
221,56.8942,26,0.3423
222,56.4817,27,0.375
223,56.2275,27,0.3654
224,55.9126,27,0.3556
225,55.292,27,0.3741
226,54.7087,27,0.3722
227,54.0713,27,0.3759
228,52.9358,27,0.4074
229,52.4647,27,0.3667
230,52.2286,27,0.3519
231,52.0798,27,0.3463
232,51.8339,27,0.3526
233,51.5437,27,0.3556
234,51.0566,27,0.3685
235,50.4786,26,0.3748
236,50.3625,26,0.3444
237,50.3575,25,0.35
238,50.1863,25,0.3615
239,49.5464,25,0.41
240,49.3234,25,0.38
241,48.586,25,0.418
242,47.8864,25,0.416
243,47.6709,24,0.38
244,47.5351,24,0.374
245,47.5826,24,0.375
246,47.5255,24,0.3833
247,47.2593,23,0.4
248,47.3066,23,0.375
249,47.3279,23,0.3935
250,47.4273,23,0.387
251,47.1356,23,0.4196
252,46.9235,22,0.413
253,46.8414,22,0.4022
254,47.0943,22,0.3909
255,46.986,22,0.4227
256,47.4465,22,0.3727
257,47.3373,22,0.4227
258,47.2285,22,0.4227
259,47.2757,22,0.4091
260,47.115,21,0.4273
261,47.3694,21,0.3909
262,47.4428,21,0.4262
263,47.5946,21,0.419
264,47.6684,21,0.4262
265,47.7685,21,0.4238
266,47.8951,21,0.4214
267,48.101,21,0.4143
268,48.1491,21,0.4286
269,48.2238,21,0.4262
270,48.5372,21,0.4048
271,48.6124,21,0.4262
272,48.7145,21,0.4238
273,48.8436,21,0.4214
274,48.9462,21,0.4238
275,49.0221,21,0.4262
276,49.4486,21,0.3952
277,49.7428,21,0.4071
278,50.1208,21,0.4
279,50.805,21,0.3738
280,51.3029,21,0.3905
281,51.721,21,0.3976
282,52.2847,21,0.3857
283,52.4808,21,0.4167
284,52.591,22,0.4238
285,52.6725,22,0.4262
286,52.4645,23,0.4295
287,52.3149,23,0.425
288,51.9357,23,0.4239
289,51.702,24,0.413
290,51.384,24,0.4196
291,50.6158,24,0.4354
292,50.4437,24,0.3917
293,50.2999,24,0.3896
294,50.2672,24,0.3813
295,49.7922,24,0.4146
296,49.8146,24,0.3771
297,49.3439,24,0.4146
298,49.3661,24,0.3771
299,48.9539,24,0.4104
300,48.7605,24,0.3937
301,48.3534,24,0.4104
302,48.3485,24,0.3792
303,48.1841,24,0.3917
304,47.9673,24,0.3958
305,47.8042,23,0.3917
306,47.852,23,0.375
307,47.663,23,0.4109
308,47.5534,23,0.4043
309,47.2086,23,0.4239
310,46.8404,23,0.4261
311,46.9645,23,0.3848
312,46.7532,22,0.413
313,46.5171,22,0.4152
314,46.3845,22,0.425
315,46.3544,22,0.4159
316,46.6047,22,0.3909
317,46.5487,22,0.4182
318,46.5441,22,0.4136
319,46.437,22,0.4227
320,46.3813,22,0.4182
321,46.2874,21,0.4216
322,46.5373,21,0.3909
323,46.9934,21,0.3905
324,47.4281,21,0.3929
325,47.6842,21,0.4095
326,47.7581,21,0.4262
327,48.1736,21,0.3952
328,48.3543,21,0.4167
329,48.6154,21,0.4095
330,48.7977,20,0.4167
331,49.1685,20,0.4
332,49.4881,20,0.425
333,49.9187,20,0.415
334,50.5726,20,0.395
335,51.2073,20,0.3975
336,51.6247,20,0.4175
337,51.9886,20,0.4225
338,52.8698,20,0.3775
339,53.4752,21,0.4025
340,54.0286,21,0.4075
341,54.2075,21,0.4186
342,54.3511,22,0.4214
343,54.3158,23,0.4357
344,54.0116,23,0.4364
345,53.6913,24,0.4187
346,53.3139,24,0.423
347,52.4582,25,0.4396
348,51.8471,25,0.4229
349,51.2145,25,0.408
350,50.6742,25,0.402
351,50.2511,25,0.394
352,49.8039,25,0.396
353,49.4976,25,0.386
354,48.7848,25,0.416
355,47.8945,25,0.43
356,47.6789,25,0.38
357,47.5955,25,0.37
358,47.3813,25,0.38
359,46.8293,24,0.406
360,46.361,24,0.4
361,45.8974,24,0.4167
