step,sheep,wolves,mean_theta
0,25,10,0.5
1,25.7125,10,0.65
2,26.615,9,0.59
3,27.6077,9,0.57
4,28.8045,9,0.5722
5,29.7839,9,0.6667
6,31.0259,9,0.5889
7,31.9613,9,0.7056
8,33.3293,9,0.5778
9,34.2425,9,0.7333
10,35.6139,9,0.6056
11,36.5897,9,0.7333
12,38.0954,9,0.5944
13,39.2021,10,0.7167
14,40.6427,10,0.6389
15,42.2928,10,0.54
16,44.196,10,0.5
17,46.1605,11,0.505
18,47.5015,12,0.645
19,48.6463,13,0.6273
20,49.5778,13,0.6125
21,50.7999,15,0.5269
22,51.0463,15,0.6654
23,52.0238,16,0.49
24,52.3334,17,0.57
25,53.2204,18,0.4719
26,52.5712,20,0.6
27,51.2937,22,0.6278
28,49.7933,22,0.5875
29,49.4597,23,0.4409
30,48.3939,23,0.5023
31,47.2977,25,0.4848
32,44.8737,26,0.5978
33,41.7842,26,0.614
34,40.3552,26,0.4692
35,39.6409,26,0.4115
36,37.3694,26,0.55
37,34.9404,27,0.5769
38,31.7661,27,0.6673
39,30.208,27,0.5019
40,27.4303,26,0.6463
41,25.059,24,0.6278
42,24.4363,23,0.4365
43,24.165,21,0.4208
44,24.136,19,0.4
45,24.5319,18,0.3619
46,24.4754,16,0.4895
47,25.2538,16,0.3444
48,25.2929,15,0.5594
49,25.6382,14,0.4906
50,26.0022,14,0.52
51,25.9996,13,0.65
52,26.5976,13,0.5
53,26.7705,12,0.6538
54,27.0476,12,0.6269
55,27.7589,12,0.5583
56,28.2905,12,0.6125
57,28.5211,12,0.6958
58,28.8319,11,0.675
59,29.3682,11,0.6167
60,30.3183,11,0.5591
61,31.2657,11,0.5682
62,32.3116,11,0.55
63,32.8415,11,0.6909
64,33.4343,11,0.6773
65,34.4791,11,0.5682
66,35.6703,11,0.5409
67,36.2553,11,0.6909
68,37.0892,11,0.6364
69,37.8403,11,0.6591
70,38.6273,12,0.6545
71,39.4095,12,0.6591
72,40.4894,12,0.55
73,40.9084,13,0.6792
74,41.5343,13,0.6417
75,42.6495,14,0.5115
76,43.1379,14,0.6192
77,44.0589,15,0.5107
78,44.0787,15,0.6464
79,44.8501,16,0.5
80,44.6236,17,0.6367
81,44.9382,17,0.5281
82,45.5021,18,0.4676
83,44.922,18,0.6029
84,45.1399,19,0.4806
85,44.5147,19,0.575
86,43.8247,20,0.5526
87,43.0731,21,0.5605
88,41.7421,21,0.595
89,41.6691,21,0.4405
90,41.4128,21,0.4595
91,40.2243,22,0.5571
92,38.2955,22,0.6405
93,37.8704,22,0.4591
94,36.6169,22,0.55
95,34.257,22,0.6795
96,32.8404,23,0.5841
97,30.9045,23,0.6568
98,29.5246,23,0.5717
99,27.3782,23,0.6826
100,26.0503,22,0.587
101,24.0419,21,0.7
102,23.5502,19,0.4977
103,23.8458,18,0.3786
104,23.5286,17,0.5421
105,24.1215,16,0.3778
106,24.3181,14,0.4912
107,24.9042,14,0.4312
108,25.203,13,0.5714
109,25.2282,13,0.6429
110,26.0444,12,0.4731
111,26.4858,12,0.5808
112,27.1241,11,0.575
113,27.6137,11,0.6208
114,28.4463,11,0.5773
115,29.2101,10,0.6045
116,30.4281,10,0.4818
117,31.8978,10,0.47
118,33.2981,10,0.51
119,34.2837,10,0.64
120,35.8831,10,0.485
121,36.9452,10,0.64
122,38.2623,10,0.585
123,39.921,10,0.515
124,41.7174,10,0.5
125,43.2046,10,0.585
126,44.1746,10,0.705
127,45.7008,11,0.595
128,46.6263,12,0.725
129,48.032,12,0.5773
130,49.9821,13,0.45
131,51.1317,14,0.5833
132,51.5485,16,0.6423
133,51.6851,17,0.6321
134,51.9357,17,0.5406
135,52.6161,18,0.4647
136,52.1767,20,0.5794
137,51.081,21,0.6111
138,50.5421,22,0.5025
139,49.0638,23,0.5595
140,48.5731,23,0.4545
141,47.7134,24,0.4652
142,45.6092,25,0.5696
143,43.5979,26,0.5458
144,41.7471,26,0.518
145,40.7556,26,0.4327
146,37.9496,27,0.5904
147,34.8567,27,0.6346
148,33.5496,27,0.463
149,30.7968,27,0.613
150,28.0498,27,0.637
151,25.5323,25,0.6389
152,24.3782,23,0.4889
153,24.2015,22,0.39
154,23.6933,20,0.4783
155,23.8082,19,0.3932
156,23.5177,17,0.51
157,24.1104,16,0.3579
158,24.2406,15,0.5059
159,25.1714,14,0.35
160,25.5842,13,0.5067
161,26.2993,12,0.4679
162,27.0199,12,0.5077
163,27.6413,12,0.5833
164,28.2163,11,0.6
165,28.9584,11,0.5583
166,30.2934,11,0.4455
167,31.2067,10,0.5773
168,32.714,10,0.4273
169,34.1141,10,0.52
170,35.2365,10,0.61
171,36.2601,10,0.645
172,37.2337,10,0.665
173,38.5201,10,0.595
174,40.0205,10,0.555
175,41.3592,10,0.605
176,42.6289,11,0.63
177,43.9611,11,0.625
178,45.2381,12,0.5864
179,46.0547,13,0.6773
180,47.3672,14,0.5417
181,47.8835,14,0.6231
182,48.7478,15,0.5321
183,48.7161,16,0.6536
184,49.6223,17,0.4933
185,49.6719,17,0.5625
186,50.3772,18,0.4588
187,49.8457,19,0.5912
188,50.1149,20,0.4778
189,49.1728,21,0.5684
190,49.1408,21,0.4575
191,49.217,21,0.4262
192,48.8872,22,0.4619
193,48.2908,22,0.4857
194,48.2594,22,0.4159
195,47.299,24,0.4955
196,45.2131,24,0.5955
197,44.761,24,0.4167
198,43.4764,25,0.4875
199,40.6265,26,0.6271
200,38.5891,26,0.546
201,37.9697,26,0.4058
202,35.6479,26,0.5635
203,32.5857,26,0.65
204,29.8225,26,0.6462
205,27.5395,26,0.6173
206,25.5374,24,0.6038
207,24.6921,23,0.4654
208,24.2822,21,0.4417
209,24.173,19,0.413
210,24.1174,18,0.4429
211,24.42,17,0.4184
212,24.6594,15,0.4556
213,25.3079,15,0.3941
214,25.3471,14,0.5967
215,25.721,14,0.5167
216,26.157,13,0.5393
217,26.2407,12,0.6286
218,27.1184,12,0.4654
219,27.5184,12,0.6458
220,27.8184,12,0.675
221,28.2899,12,0.6292
222,28.6138,12,0.6708
223,28.9572,12,0.6667
224,29.1932,12,0.6958
225,29.5114,12,0.675
226,29.7681,12,0.6917
227,30.2236,12,0.6417
228,30.4699,12,0.6958
229,30.9696,12,0.6333
230,31.4264,12,0.6458
231,31.9937,12,0.6208
232,32.2368,12,0.7
233,32.8896,12,0.6042
234,33.1938,12,0.6875
235,33.6287,12,0.6583
236,34.0137,12,0.6708
237,34.6651,12,0.6125
238,35.0239,12,0.6792
239,35.6175,12,0.6292
240,35.8686,13,0.7042
241,36.595,13,0.6042
242,37.2555,13,0.5731
243,38.2148,13,0.5192
244,38.6944,13,0.6115
245,39.1375,14,0.6192
246,39.1336,14,0.7
247,39.8184,15,0.5357
248,39.6173,15,0.6821
249,39.8313,16,0.5733
250,39.3453,16,0.68
251,39.363,17,0.5656
252,38.8178,17,0.6469
253,38.7713,17,0.5412
254,38.6821,18,0.5471
255,38.1889,18,0.6029
256,38.4581,18,0.4694
257,37.9466,18,0.5722
258,36.7323,19,0.6667
259,35.5973,19,0.6611
260,35.1826,19,0.5342
261,34.4244,19,0.5816
262,33.3039,19,0.6342
263,31.9634,19,0.6711
264,30.9933,19,0.6237
265,30.7345,19,0.5184
266,29.8017,19,0.6237
267,29.766,18,0.4842
268,29.7139,17,0.4868
269,30.5771,16,0.3583
270,30.5572,15,0.5382
271,31.697,15,0.3563
272,32.2517,15,0.5
273,32.0356,15,0.6467
274,31.5919,15,0.69
275,31.5366,15,0.6167
276,32.0538,15,0.5067
277,31.6804,15,0.6767
278,31.5901,14,0.6233
279,31.9866,14,0.53
280,32.3176,14,0.5821
281,32.3677,14,0.6393
282,32.4713,14,0.6286
283,33.2539,14,0.4929
284,33.2688,14,0.6464
285,33.5583,14,0.5929
286,33.7026,14,0.6214
287,33.8289,14,0.625
288,33.9744,14,0.6214
289,34.1392,14,0.6179
290,34.0043,14,0.675
291,34.7864,14,0.5
292,34.9934,14,0.6107
293,35.6635,14,0.525
294,35.9346,14,0.6
295,36.346,14,0.575
296,36.1025,14,0.6929
297,36.4365,15,0.5893
298,36.0521,15,0.7179
299,36.2071,16,0.58
300,35.5861,16,0.71
301,35.6413,16,0.5594
302,35.0104,16,0.6687
303,34.6603,17,0.625
304,33.7418,17,0.7188
305,33.5529,17,0.5647
306,32.4976,17,0.7029
307,32.0297,17,0.6118
308,32.1145,17,0.5206
309,32.2526,17,0.5118
310,32.072,17,0.5647
311,31.9806,16,0.55
312,32.3292,16,0.4765
313,32.8772,16,0.4719
314,32.8016,15,0.5813
315,32.9426,15,0.5437
316,33.6641,15,0.4733
317,33.8829,15,0.5667
318,34.1031,14,0.5667
319,34.5874,14,0.52
320,34.8122,14,0.6071
321,35.0576,14,0.6036
322,34.8613,14,0.6857
323,35.1454,14,0.5964
324,35.1806,15,0.6429
325,35.5447,15,0.5821
326,35.9712,15,0.5333
327,36.205,15,0.5667
328,36.0819,15,0.6267
329,36.4554,15,0.5433
330,36.7124,15,0.5633
331,37.3145,15,0.5067
332,37.6391,15,0.5533
333,37.2006,16,0.6767
334,37.3401,16,0.5833
335,38.0963,16,0.4531
336,38.8049,16,0.4625
337,39.0144,16,0.5375
338,39.0963,16,0.5563
339,38.8129,16,0.6094
340,38.8944,16,0.5563
341,38.5696,17,0.6156
342,38.0779,17,0.6406
343,38.1578,17,0.5235
344,38.0071,17,0.5559
345,38.5468,17,0.4588
346,38.2461,17,0.5765
347,38.0951,17,0.5559
348,37.9655,18,0.5529
349,37.4815,18,0.6029
350,37.2922,18,0.5306
351,36.8783,18,0.5611
352,36.3472,18,0.5778
353,35.2641,19,0.6556
354,34.2714,19,0.6472
355,34.2114,19,0.4868
356,33.3801,19,0.5947
357,32.2935,19,0.6342
358,31.8108,19,0.55
359,30.7928,19,0.6316
360,29.7905,19,0.6342
361,29.4434,18,0.5342
362,28.7927,17,0.5842
363,29.0907,17,0.4528
364,29.3438,16,0.4882
365,29.7282,15,0.4647
366,30.3956,15,0.4406
367,30.1586,15,0.6533
368,30.3546,14,0.5667
369,30.6187,14,0.5533
370,31.1882,14,0.5286
371,31.3051,13,0.625
372,31.7324,13,0.5607
373,32.4099,13,0.55
374,32.7097,13,0.6346
375,33.4261,13,0.5462
376,34.2868,13,0.5192
377,35.132,13,0.5269
378,35.5149,13,0.6231
379,35.6481,13,0.6731
380,35.7229,13,0.6846
381,36.0141,13,0.6423
382,36.5057,13,0.6038
383,36.9437,14,0.6154
384,36.9604,14,0.6962
385,37.6885,14,0.5214
386,37.9956,15,0.5964
387,37.6993,15,0.7
388,38.1309,15,0.5367
389,37.6448,16,0.6833
390,37.7031,16,0.5967
391,38.1763,16,0.4969
392,38.0045,16,0.5938
393,37.7499,16,0.6062
394,37.6423,17,0.5844
395,37.3901,17,0.6062
396,38.0855,17,0.4353
397,37.8513,17,0.5676
398,38.1598,17,0.4912
399,38.093,17,0.5441
400,38.3197,17,0.5029
401,37.7889,17,0.6088
402,37.702,17,0.5471
403,38.0508,17,0.4853
404,37.9633,17,0.5471
405,37.5836,17,0.5882
406,37.1664,18,0.5941
407,36.897,18,0.5735
408,37.1774,18,0.4667
409,36.6012,18,0.5833
410,35.8929,18,0.6028
411,34.922,18,0.6417
412,34.688,18,0.5389
413,34.2839,18,0.5639
414,33.8845,18,0.5639
415,33.6202,18,0.5444
416,33.1546,18,0.575
417,32.1848,18,0.6528
418,31.4912,18,0.6139
419,31.2976,18,0.5361
420,31.0706,18,0.5417
421,30.1277,17,0.6583
422,29.9424,16,0.5361
423,30.9933,16,0.3471
424,31.1607,15,0.5375
425,31.9288,15,0.4281
426,32.2417,15,0.5467
427,32.1321,15,0.6267
428,32.3056,15,0.5733
429,31.9293,14,0.6767
430,32.33,14,0.53
431,33.4292,14,0.4286
432,33.6465,14,0.6071
433,33.7726,14,0.625
434,33.6764,14,0.6679
435,34.2287,14,0.5429
436,34.15,14,0.6643
437,34.109,14,0.6571
438,34.4995,14,0.575
439,34.3253,14,0.6821
440,34.7372,14,0.5714
441,35.0585,14,0.5893
442,35.0357,14,0.6536
443,35.1286,15,0.6321
444,35.2024,15,0.6357
445,35.6054,15,0.5367
446,35.3865,15,0.6433
447,35.7138,15,0.55
448,35.0816,16,0.7133
449,35.0781,16,0.6067
450,35.3447,16,0.525
451,35.2634,16,0.5813
452,35.7836,16,0.4844
453,35.7406,16,0.575
454,35.6191,16,0.5875
455,34.8907,16,0.6844
456,34.6761,16,0.6031
457,33.8716,16,0.7
458,33.9428,16,0.5563
459,33.734,16,0.6031
460,33.6564,16,0.5813
461,33.5605,16,0.5844
462,33.2064,16,0.6281
463,33.4588,16,0.525
464,33.7315,16,0.5219
465,33.7096,16,0.5719
466,33.595,16,0.5875
467,33.9981,16,0.5
468,33.8264,16,0.5969
469,34.0091,16,0.5375
470,33.7064,16,0.6188
471,33.5176,16,0.6
472,33.4037,16,0.5875
473,33.4371,16,0.5625
474,33.5809,16,0.5437
475,33.7807,15,0.5344
476,34.2604,15,0.4875
477,34.4077,15,0.58
478,33.9122,15,0.6933
479,34.0394,15,0.5833
480,34.2981,15,0.56
481,34.7285,15,0.53
482,34.9925,15,0.56
483,35.778,15,0.47
484,35.9516,15,0.5767
485,36.3039,15,0.5467
486,36.4201,15,0.5867
487,36.0358,15,0.67
488,36.171,15,0.5833
489,35.6899,15,0.6867
490,35.7059,16,0.6033
491,35.1721,16,0.6967
492,35.1106,16,0.5781
493,34.3733,16,0.6875
494,34.2564,17,0.5875
495,33.3674,17,0.7156
496,33.2907,17,0.5471
497,33.1226,17,0.5618
498,32.9189,17,0.5676
499,33.4225,17,0.4529
500,33.0148,17,0.6
