step,sheep,wolves,mean_theta
0,10.4005,9,0.545
1,10.9829,8,0.4444
2,11.5496,8,0.55
3,12.1647,7,0.5312
4,12.8927,6,0.5214
5,13.7282,5,0.5333
6,14.6404,5,0.61
7,15.5649,5,0.67
8,16.5907,4,0.62
9,17.9577,4,0.4
10,19.3091,3,0.5625
11,20.8258,3,0.65
12,22.4731,3,0.6333
13,24.226,3,0.6667
14,26.1157,3,0.6667
15,28.1096,3,0.7167
16,30.3485,3,0.6167
17,32.7157,3,0.6667
18,35.2135,3,0.7167
19,37.9796,3,0.65
20,40.9002,3,0.7
21,44.1354,3,0.6333
22,47.5294,3,0.7
23,51.2367,3,0.6667
24,55.1486,3,0.7167
25,59.4502,4,0.6667
26,63.7931,4,0.6125
27,68.2426,5,0.6875
28,72.5521,6,0.67
29,76.9742,7,0.5917
30,81.2001,8,0.5857
31,84.7648,10,0.6375
32,87.74,12,0.59
33,89.9028,15,0.5708
34,90.0421,19,0.5967
35,88.597,23,0.5553
36,86.9801,27,0.4674
37,82.331,32,0.5167
38,74.2625,38,0.5625
39,65.637,43,0.5171
40,53.8617,49,0.5907
41,42.8066,53,0.5663
42,35.1506,53,0.4783
43,27.588,53,0.5406
44,22.7904,51,0.4698
45,19.9428,47,0.401
46,17.5825,43,0.4223
47,15.8014,39,0.4256
48,14.4267,35,0.4359
49,14.1872,31,0.3029
50,13.5459,28,0.4258
51,13.0752,25,0.4375
52,12.8726,22,0.42
53,12.9987,20,0.3727
54,12.8973,18,0.49
55,13.2791,15,0.3556
56,13.5115,14,0.5
57,14.008,12,0.4107
58,14.3918,11,0.55
59,15.0157,10,0.4682
60,15.5758,9,0.57
61,16.0454,9,0.7056
62,16.7233,8,0.5833
63,17.761,7,0.4313
64,18.7947,7,0.5429
65,19.8576,6,0.5643
66,20.9587,6,0.675
67,22.1784,6,0.6333
68,23.3838,5,0.6917
69,24.9377,5,0.61
70,26.5674,5,0.63
71,28.3036,5,0.63
72,30.0598,5,0.69
73,31.9746,5,0.66
74,33.9586,5,0.69
75,36.2525,5,0.59
76,38.4821,5,0.7
77,40.9122,5,0.67
78,43.4508,5,0.69
79,46.1947,5,0.67
80,49.0357,6,0.7
81,52.2132,6,0.5333
82,55.051,7,0.6917
83,58.2247,7,0.55
84,61.4212,8,0.5857
85,64.523,9,0.5625
86,66.8587,10,0.6444
87,69.0216,12,0.615
88,69.698,14,0.6833
89,70.6877,16,0.5571
90,72.1192,18,0.4531
91,71.279,20,0.5639
92,68.1748,24,0.6525
93,64.9433,28,0.5583
94,60.722,31,0.5357
95,55.8733,34,0.5274
96,49.8139,36,0.5574
97,44.4663,38,0.5236
98,39.4483,39,0.5092
99,34.4976,39,0.5256
100,28.7261,39,0.6231
101,24.1414,39,0.6051
102,21.3772,37,0.5
103,19.9995,34,0.4041
104,18.5235,31,0.4647
105,17.8085,29,0.4065
106,16.8958,26,0.4741
107,16.7269,23,0.3846
108,16.6148,21,0.4217
109,16.8142,19,0.381
110,16.9789,17,0.4316
111,17.2481,16,0.45
112,17.4361,14,0.5062
113,18.0097,13,0.4357
114,18.3843,12,0.5538
115,18.9487,11,0.525
116,19.8014,10,0.4545
117,20.5618,9,0.56
118,21.6115,9,0.4944
119,22.4889,8,0.6
120,23.5627,8,0.5938
121,24.5064,8,0.6813
122,25.5283,7,0.6625
123,26.9439,7,0.5786
124,28.2453,7,0.6714
125,29.7338,7,0.6143
126,31.0882,7,0.7071
127,32.641,7,0.65
128,34.1278,7,0.7071
129,35.7386,7,0.6857
130,37.4845,7,0.6643
131,39.3774,7,0.6429
132,41.3444,7,0.65
133,43.3413,7,0.6714
134,45.3393,8,0.7
135,47.8284,8,0.5125
136,49.8229,9,0.6625
137,51.9553,9,0.5778
138,53.7789,10,0.6556
139,55.9624,11,0.54
140,57.1879,12,0.6455
141,59.0065,13,0.5167
142,60.0391,15,0.5769
143,60.1322,16,0.5967
144,60.7546,18,0.5094
145,60.5814,19,0.5194
146,58.9427,22,0.6079
147,57.478,23,0.5159
148,57.8832,24,0.3674
149,57.1452,24,0.4271
150,54.2479,27,0.5708
151,53.1087,27,0.4074
152,49.5982,29,0.5593
153,46.8926,30,0.4845
154,43.793,31,0.5033
155,39.5013,32,0.5806
