step,sheep,wolves,mean_theta
0,13.8996,9,0.28
1,14.8309,8,0.3333
2,15.8898,7,0.325
3,17.0855,7,0.3214
4,18.343,6,0.3429
5,19.7838,5,0.325
6,21.414,5,0.32
7,23.1668,4,0.33
8,25.1649,4,0.3125
9,27.3077,3,0.3375
10,29.6329,3,0.45
11,32.0584,3,0.55
12,34.6295,3,0.6
13,37.483,3,0.5333
14,40.5097,3,0.5833
15,43.8477,3,0.5333
16,47.4125,3,0.5667
17,51.2672,3,0.5667
18,55.4916,3,0.5333
19,59.9725,3,0.5833
20,64.8483,3,0.5667
21,70.0848,4,0.5833
22,75.4743,4,0.525
23,81.0292,5,0.6
24,86.3245,6,0.63
25,90.8738,8,0.7167
26,94.1134,11,0.7312
27,95.4498,15,0.7091
28,96.7527,18,0.5233
29,96.743,22,0.5056
30,95.2967,26,0.475
31,92.8447,30,0.4396
32,88.0864,35,0.4583
33,82.7775,40,0.4163
34,78.0161,43,0.358
35,73.0309,45,0.3465
36,68.8462,46,0.3178
37,65.0907,46,0.3054
38,62.3634,46,0.2804
39,59.5445,46,0.287
40,57.3444,45,0.2707
41,54.9416,44,0.2867
42,53.3648,42,0.2659
43,51.7158,40,0.2833
44,50.7151,38,0.2712
45,49.7617,37,0.2842
46,49.3736,35,0.2649
47,48.8798,33,0.2857
48,49.2244,32,0.2561
49,49.2195,30,0.2844
50,49.8372,29,0.265
51,50.353,27,0.281
52,51.4004,26,0.2667
53,52.3564,25,0.2846
54,54.0501,24,0.246
55,56.2446,22,0.225
56,58.2806,21,0.2636
57,60.3904,21,0.2762
58,62.809,20,0.2595
59,64.7718,20,0.3125
60,67.1165,20,0.29
61,69.2139,20,0.3125
62,71.6814,20,0.2925
63,73.882,20,0.315
64,75.9877,20,0.325
65,76.9413,21,0.3975
66,76.849,24,0.4381
67,75.8015,26,0.4304
68,75.1269,28,0.3808
69,73.4666,30,0.3964
70,72.5299,31,0.3417
71,72.0838,32,0.3113
72,72.2352,32,0.2781
73,71.8307,32,0.3
74,72.2976,32,0.2656
75,72.1313,32,0.2906
76,72.7588,32,0.2594
77,72.5915,32,0.2906
78,72.8238,32,0.275
79,72.6563,32,0.2906
80,73.2884,32,0.2594
81,73.1198,32,0.2906
82,73.9169,32,0.2531
83,73.7468,32,0.2906
84,74.3884,32,0.2594
85,74.2173,32,0.2906
86,74.863,32,0.2594
87,74.6085,33,0.2938
88,74.3959,33,0.2833
89,73.9793,33,0.2909
90,74.3381,33,0.2621
91,73.9218,34,0.2909
92,73.7517,34,0.2735
93,72.852,34,0.3
94,72.9248,34,0.2647
95,72.1555,34,0.2956
96,72.3467,34,0.2603
97,71.7426,34,0.2897
98,71.6959,34,0.2691
99,71.0973,34,0.2897
100,71.2075,34,0.2632
101,70.6129,34,0.2897
102,70.8,34,0.2603
103,70.2088,34,0.2897
104,70.3177,34,0.2632
105,69.8852,34,0.2838
106,70.0704,34,0.2603
107,69.5624,34,0.2868
108,69.7467,34,0.2603
109,69.1644,34,0.2897
110,69.3476,33,0.2603
111,68.9974,33,0.2894
112,69.37,33,0.2606
113,69.0197,33,0.2894
114,69.3924,32,0.2606
115,69.4236,32,0.2828
116,69.9894,32,0.2609
117,69.867,32,0.2891
118,69.9753,32,0.2797
119,70.1607,31,0.2766
120,70.8097,31,0.2661
121,70.9584,31,0.2871
122,71.6928,31,0.2629
123,71.8434,31,0.2871
124,72.5079,31,0.2661
125,72.6602,31,0.2871
126,73.2523,31,0.2694
127,73.4062,31,0.2871
128,74.1659,31,0.2629
129,74.3217,31,0.2871
130,74.8456,31,0.2726
131,75.0028,31,0.2871
132,73.5103,32,0.3516
133,72.9369,33,0.3062
134,73.0901,33,0.2697
135,72.4396,33,0.3
136,72.9104,33,0.2576
137,72.3818,33,0.2955
138,72.9319,33,0.2545
139,72.3229,33,0.2985
140,72.793,33,0.2576
141,72.2653,33,0.2955
142,72.8145,33,0.2545
143,72.2866,33,0.2955
144,72.836,33,0.2545
145,72.3079,33,0.2955
146,72.8574,33,0.2545
147,72.3292,33,0.2955
148,72.8789,33,0.2545
149,72.3506,33,0.2955
150,72.9004,33,0.2545
151,72.3719,33,0.2955
152,72.9219,33,0.2545
153,72.3932,33,0.2955
154,72.9434,33,0.2545
155,72.4146,33,0.2955
156,72.9649,33,0.2545
157,72.4359,33,0.2955
158,72.9865,33,0.2545
159,72.4573,33,0.2955
160,72.7689,33,0.2636
161,72.2413,33,0.2955
162,72.7903,33,0.2545
163,72.2626,33,0.2955
164,72.3349,33,0.2727
165,71.7309,34,0.2985
166,71.6842,34,0.2691
167,70.6914,34,0.3044
168,70.801,34,0.2632
169,70.3266,34,0.2853
170,70.629,34,0.2559
171,70.2335,34,0.2824
172,70.5355,34,0.2559
173,69.8302,34,0.2941
174,70.1304,33,0.2559
175,69.6605,33,0.2939
176,70.1517,33,0.2561
177,69.6816,33,0.2939
178,70.0962,33,0.2591
179,69.6266,33,0.2939
180,70.0409,32,0.2591
181,69.8027,32,0.2938
182,70.4868,32,0.2562
183,70.4022,32,0.2875
184,71.0922,31,0.2562
185,71.6325,31,0.271
186,72.5315,31,0.2565
187,72.5242,31,0.2935
188,73.4344,31,0.2565
189,73.427,31,0.2935
190,74.3485,31,0.2565
191,74.3411,31,0.2935
192,75.1923,31,0.2597
193,74.4817,31,0.321
194,75.0478,31,0.271
195,74.0084,32,0.3339
196,73.6347,33,0.2984
197,73.5463,33,0.2788
198,73.2153,33,0.2879
199,73.2885,33,0.2727
200,73.0797,34,0.2833
201,72.9518,34,0.2721
202,72.5834,34,0.2809
203,72.5362,34,0.2691
204,72.1699,34,0.2809
205,72.123,34,0.2691
206,71.7588,34,0.2809
207,71.7121,34,0.2691
208,71.35,34,0.2809
209,71.3036,34,0.2691
210,70.9435,34,0.2809
211,70.8974,34,0.2691
212,70.5394,34,0.2809
213,70.4159,34,0.2721
214,70.0603,34,0.2809
215,70.0148,33,0.2691
216,69.8537,33,0.2818
217,69.962,33,0.2712
218,69.8011,33,0.2818
219,69.9861,33,0.2682
220,69.9021,33,0.2788
221,70.0873,32,0.2682
222,70.1574,32,0.2812
223,70.9221,32,0.2531
224,70.9931,32,0.2812
225,71.3764,31,0.2687
226,71.9974,31,0.2677
227,72.5842,31,0.2694
228,72.8963,31,0.2806
229,73.4904,31,0.2694
230,73.8064,31,0.2806
231,74.4079,31,0.2694
232,74.7279,31,0.2806
233,75.2547,31,0.2726
234,74.4608,31,0.3242
235,74.9448,32,0.2742
236,75.1269,32,0.2772
237,73.3839,33,0.35
238,72.7147,34,0.3006
239,72.4275,34,0.2779
240,71.8625,34,0.2882
241,72.0134,34,0.2618
242,71.5309,34,0.2853
243,71.7598,34,0.2588
244,71.2396,34,0.2868
245,71.35,34,0.2632
246,70.9112,34,0.2838
247,71.0211,34,0.2632
248,70.6625,34,0.2809
249,70.9274,34,0.2574
250,70.8033,33,0.2721
251,71.5751,33,0.2455
252,71.6073,33,0.2742
253,71.9152,32,0.2636
254,71.9476,32,0.2828
255,72.5339,32,0.2609
256,72.4868,32,0.2859
257,72.9181,32,0.2672
258,72.8707,32,0.2859
259,73.3844,32,0.2641
260,73.3367,32,0.2859
261,73.7731,32,0.2672
262,73.7251,32,0.2859
263,74.2449,32,0.2641
264,74.1966,32,0.2859
265,74.7197,32,0.2641
266,74.6711,32,0.2859
267,75.1976,32,0.2641
268,74.032,33,0.3281
269,73.6989,33,0.2879
270,73.4483,34,0.2848
271,73.3602,34,0.2706
272,72.9493,34,0.2824
273,72.942,34,0.2676
274,72.4533,34,0.2853
275,72.4461,34,0.2676
276,71.9607,34,0.2853
277,71.9535,34,0.2676
278,71.5506,34,0.2824
279,71.5434,34,0.2676
280,71.1428,34,0.2824
281,71.2922,34,0.2618
282,70.9714,34,0.2794
283,70.9643,34,0.2676
284,70.6449,34,0.2794
285,70.6379,34,0.2676
286,70.2423,34,0.2824
287,70.2353,33,0.2676
288,70.3441,33,0.2712
289,70.5692,33,0.2667
290,70.3681,33,0.2833
291,70.5933,32,0.2667
292,70.625,32,0.2828
293,71.0453,32,0.2672
294,71.0772,32,0.2828
295,71.3438,32,0.2734
296,71.3759,32,0.2828
297,71.7221,32,0.2703
298,71.7543,32,0.2828
299,72.1813,32,0.2672
300,72.2137,32,0.2828
301,72.564,32,0.2703
302,72.9159,32,0.2703
303,73.3498,32,0.2672
304,73.3828,32,0.2828
305,73.8194,32,0.2672
306,73.9338,32,0.2797
307,74.3737,32,0.2672
308,74.4072,32,0.2828
309,74.8499,32,0.2672
310,74.9659,32,0.2797
311,75.412,32,0.2672
312,73.8698,33,0.3422
313,73.3343,33,0.2955
314,73.5689,33,0.2667
315,73.2783,33,0.2864
316,73.5934,33,0.2636
317,73.3027,33,0.2864
318,73.6179,33,0.2636
319,73.2462,33,0.2894
320,73.5611,33,0.2636
321,73.3515,34,0.2833
322,73.4652,34,0.2632
323,72.9325,34,0.2868
324,73.0456,34,0.2632
325,72.4357,34,0.2897
326,72.5479,34,0.2632
327,72.022,34,0.2868
328,72.1336,34,0.2632
329,71.6106,34,0.2868
330,71.7216,34,0.2632
331,71.4383,34,0.2779
332,71.549,34,0.2632
333,71.0303,34,0.2868
334,71.1404,34,0.2632
335,70.6246,34,0.2868
336,70.6564,34,0.2662
337,70.1442,34,0.2868
338,70.2529,33,0.2632
339,69.9754,33,0.2864
340,70.2763,33,0.2636
341,69.9987,33,0.2864
342,70.2997,33,0.2636
343,70.022,33,0.2864
344,70.3231,32,0.2636
345,70.4321,32,0.2797
346,70.9286,32,0.2641
347,70.8825,32,0.2859
348,71.3823,32,0.2641
349,71.3359,32,0.2859
350,71.9957,31,0.2578
351,72.1073,31,0.2887
352,72.814,31,0.2645
353,73.0069,31,0.2855
354,73.7224,31,0.2645
355,73.9989,31,0.2823
356,74.724,31,0.2645
357,74.9221,31,0.2855
358,75.6563,31,0.2645
359,74.8165,32,0.3258
360,74.6444,32,0.2906
361,74.637,32,0.2844
362,74.7116,33,0.2812
363,74.2932,33,0.2909
364,73.9998,33,0.2864
365,73.911,34,0.2788
366,73.3345,34,0.2882
367,73.1658,34,0.2735
368,72.7561,34,0.2824
369,72.5887,34,0.2735
370,72.3419,34,0.2765
371,71.5389,34,0.2971
372,71.3744,34,0.2735
373,71.2102,34,0.2735
374,71.0464,34,0.2735
375,70.883,34,0.2735
376,70.72,34,0.2735
377,70.5573,34,0.2735
378,70.1622,34,0.2824
379,70.0009,34,0.2735
380,69.7629,34,0.2765
381,69.6024,34,0.2735
382,69.3657,34,0.2765
383,69.2062,33,0.2735
384,69.1612,33,0.2773
385,69.1543,33,0.2758
386,69.1094,33,0.2773
387,69.1785,33,0.2727
388,68.9052,33,0.2864
389,68.9741,32,0.2727
390,69.1569,32,0.2766
391,69.4162,32,0.2734
392,69.6002,32,0.2766
393,69.9377,31,0.2703
394,70.3539,31,0.2758
395,70.8112,31,0.2742
396,71.2325,31,0.2758
397,71.8522,31,0.2677
398,72.2797,31,0.2758
399,72.7496,31,0.2742
400,73.1824,31,0.2758
401,73.6581,31,0.2742
402,74.4205,30,0.2629
403,75.1089,30,0.275
404,74.3165,31,0.335
405,74.2273,31,0.2968
406,74.3015,32,0.2903
407,74.5801,32,0.2734
408,74.5727,32,0.2844
409,74.9754,32,0.2687
410,75.0504,32,0.2812
411,73.722,33,0.3344
412,73.4308,34,0.2864
413,73.2619,34,0.2735
414,72.8516,34,0.2824
415,72.684,34,0.2735
416,72.1971,34,0.2853
417,72.1104,34,0.2706
418,71.7859,34,0.2794
419,71.6998,34,0.2706
420,71.3771,34,0.2794
421,71.2915,34,0.2706
422,71.0491,34,0.2765
423,70.9638,34,0.2706
424,70.5664,34,0.2824
425,70.4818,34,0.2706
426,70.3196,34,0.2735
427,70.2353,34,0.2706
428,69.9192,34,0.2794
429,69.6815,33,0.2765
430,69.5979,33,0.2788
431,69.7057,33,0.2712
432,69.6221,33,0.2788
433,69.73,33,0.2712
434,69.6463,32,0.2788
435,69.9458,32,0.2719
436,70.0927,32,0.2781
437,70.3941,32,0.2719
438,71.0065,31,0.2594
439,71.5071,31,0.2726
440,71.8146,31,0.2806
441,72.2419,31,0.2758
442,72.632,31,0.2774
443,72.9843,31,0.279
444,73.3784,31,0.2774
445,73.8957,31,0.2726
446,74.2947,31,0.2774
447,74.7368,31,0.2758
448,75.0582,31,0.2806
449,73.8122,32,0.3419
450,73.5856,33,0.2928
451,73.983,33,0.2606
452,73.6093,33,0.2894
453,74.0068,33,0.2606
454,73.5517,33,0.2924
455,73.9489,33,0.2606
456,73.5754,33,0.2894
457,73.9727,33,0.2606
458,73.5178,33,0.2924
459,73.9148,33,0.2606
460,73.5415,33,0.2894
461,73.9387,33,0.2606
462,73.5653,34,0.2894
463,73.5984,34,0.2662
464,72.9433,34,0.2912
465,73.0965,34,0.2618
466,72.5264,34,0.2882
467,72.5989,34,0.2647
468,71.8729,34,0.2941
469,72.0238,34,0.2618
470,71.4621,34,0.2882
471,71.6121,34,0.2618
472,71.0535,34,0.2882
473,71.2028,34,0.2618
474,70.6474,34,0.2882
475,70.7957,34,0.2618
476,70.2435,34,0.2882
477,70.391,34,0.2618
478,69.842,34,0.2882
479,69.9887,33,0.2618
480,69.6737,33,0.2879
481,70.0116,33,0.2621
482,69.6966,33,0.2879
483,70.0346,33,0.2621
484,69.7195,33,0.2879
485,69.9042,32,0.2682
486,69.8203,32,0.2875
487,70.351,32,0.2625
488,70.1891,32,0.2906
489,70.7226,32,0.2625
490,70.6377,32,0.2875
491,71.1746,31,0.2625
492,71.4806,31,0.2806
493,72.2204,31,0.2629
494,72.3721,31,0.2871
495,73.1212,31,0.2629
496,73.2747,31,0.2871
497,74.0331,31,0.2629
498,74.0257,31,0.2935
499,74.7919,31,0.2629
