step,sheep,wolves,mean_theta
0,13.5922,9,0.495
1,14.3159,9,0.4722
2,15.094,8,0.4611
3,16.0472,7,0.4188
4,17.1665,6,0.3929
5,18.4299,6,0.4
6,19.7762,5,0.4083
7,21.297,5,0.42
8,22.9465,4,0.41
9,24.8499,4,0.3875
10,26.8839,3,0.4125
11,29.2174,3,0.4
12,31.7374,3,0.4167
13,34.4747,3,0.4167
14,37.5051,3,0.3667
15,40.7399,3,0.4167
16,44.2313,3,0.4333
17,48.0949,3,0.3833
18,52.2695,3,0.4
19,56.7203,3,0.45
20,61.5812,3,0.4333
21,66.8587,3,0.4333
22,72.6253,3,0.4167
23,78.7294,3,0.4833
24,85.5198,3,0.4167
25,92.8489,3,0.4333
26,100.5507,4,0.5167
27,108.5043,5,0.475
28,116.3111,6,0.51
29,124.2575,7,0.48
30,131.79,10,0.5114
31,138.0395,13,0.478
32,141.7458,18,0.5115
33,142.0435,25,0.4944
34,136.795,34,0.498
35,123.2988,48,0.5312
36,102.1827,63,0.5138
37,78.0287,77,0.4854
38,53.4302,88,0.4903
39,36.792,90,0.425
40,26.4196,87,0.3858
41,20.2995,80,0.3466
42,16.4903,72,0.3269
43,13.8857,64,0.3257
44,12.143,56,0.3203
45,10.9129,49,0.3268
46,10.1136,43,0.3214
47,9.573,38,0.3244
48,9.2456,33,0.3211
49,9.0667,29,0.3288
50,9.0508,25,0.319
51,9.1196,22,0.336
52,9.3243,19,0.3205
53,9.6106,17,0.3316
54,10.0008,15,0.3176
55,10.4508,13,0.3333
56,10.9786,11,0.3462
57,11.6055,10,0.3545
58,12.2745,9,0.385
59,13.0699,8,0.3556
60,13.924,7,0.3937
61,14.9259,6,0.3643
62,16.0408,5,0.3833
63,17.2832,5,0.41
64,18.6693,4,0.36
65,20.1974,4,0.4125
66,21.8839,4,0.375
67,23.6991,3,0.3875
68,25.7562,3,0.4
69,28.0202,3,0.3667
70,30.4369,3,0.4167
71,33.0621,2,0.4167
72,36.1137,2,0.35
73,39.4073,2,0.4
74,42.9579,2,0.45
75,46.8993,2,0.375
76,51.1507,2,0.425
77,55.7875,2,0.425
78,60.8754,2,0.4
79,66.4607,2,0.375
80,72.4853,2,0.425
81,79.0561,2,0.425
82,86.2226,2,0.425
83,94.0386,2,0.425
84,102.5632,2,0.425
85,111.8606,3,0.425
86,120.8318,4,0.6
87,130.1902,5,0.5125
88,139.4142,7,0.53
89,148.2182,9,0.4786
90,155.5402,13,0.5111
91,161.2563,18,0.4423
92,161.8788,26,0.4856
93,154.2413,38,0.5146
94,137.5817,54,0.4976
95,111.3105,73,0.4898
96,77.0402,93,0.5079
97,48.7195,104,0.4571
98,31.6457,104,0.3937
99,21.7912,98,0.3596
100,15.9523,88,0.3413
101,12.7395,78,0.3114
102,10.3209,69,0.3378
103,8.9121,61,0.3116
104,7.8819,53,0.3213
105,7.2482,46,0.3094
106,6.773,40,0.3272
107,6.5563,34,0.3
108,6.4258,30,0.3206
109,6.4005,26,0.315
110,6.4245,22,0.3365
111,6.5793,19,0.3136
112,6.7668,17,0.3421
113,7.0564,14,0.3059
114,7.3856,13,0.3464
115,7.8032,11,0.3038
116,8.2574,9,0.3455
117,8.8243,8,0.3167
118,9.4398,7,0.3438
119,10.1189,6,0.3643
120,10.8915,6,0.3583
121,11.7351,5,0.3417
122,12.6827,4,0.35
123,13.7277,4,0.4
124,14.8891,3,0.35
125,16.1815,3,0.4
126,17.5593,3,0.45
127,19.1028,2,0.3667
128,20.845,2,0.4
129,22.769,2,0.35
130,24.8455,2,0.4
131,27.1114,2,0.4
132,29.5989,2,0.375
133,32.282,1,0.425
134,35.3859,1,0.35
135,38.7688,1,0.4
136,42.4538,1,0.45
137,46.5357,1,0.35
138,50.9846,1,0.4
139,55.8867,1,0.35
140,61.2295,1,0.4
141,67.0494,1,0.45
142,73.4961,1,0.35
143,80.5224,1,0.4
144,88.176,1,0.45
145,96.4602,1,0.55
146,105.6287,1,0.45
147,115.7849,1,0.35
148,126.8539,1,0.4
149,138.9114,2,0.45
150,151.7329,2,0.35
151,165.4041,3,0.45
152,179.2153,4,0.5
153,193.687,6,0.4375
154,207.0901,9,0.4667
155,216.2952,16,0.5611
156,218.177,27,0.5188
157,206.2035,46,0.5215
158,172.8851,75,0.517
159,122.3767,110,0.4753
160,65.0053,141,0.4701
161,26.5787,151,0.4456
162,12.8495,140,0.3712
163,7.5902,124,0.3307
164,5.3059,107,0.294
165,3.7937,93,0.3271
166,3.0359,80,0.293
167,2.5664,68,0.2894
168,2.2683,58,0.289
169,2.0722,50,0.2922
170,1.9809,43,0.262
171,1.936,36,0.2593
172,1.9177,31,0.2764
173,1.9333,26,0.2694
174,1.9586,23,0.3038
175,2.0145,19,0.2826
176,2.0874,17,0.3053
177,2.171,14,0.3206
178,2.2842,12,0.3107
179,2.4259,10,0.2875
180,2.5898,9,0.295
181,2.7705,8,0.3056
182,2.9744,6,0.3
183,3.2129,6,0.3
184,3.46,5,0.35
185,3.7489,4,0.3
186,4.066,3,0.35
187,4.4324,3,0.3
188,4.8244,3,0.35
189,5.2591,2,0.3
190,5.7445,2,0.35
191,6.2748,2,0.35
192,6.8539,1,0.35
193,7.5167,1,0.3
194,8.2394,1,0.35
195,9.0362,1,0.3
196,9.905,1,0.35
197,10.8628,1,0.3
198,11.9073,1,0.35
199,13.0456,0,0.4
200,14.3502,0,0.0
201,15.7852,0,0.0
202,17.3637,0,0.0
203,19.1001,0,0.0
204,21.0101,0,0.0
205,23.1111,0,0.0
206,25.4222,0,0.0
207,27.9644,0,0.0
208,30.7609,0,0.0
209,33.837,0,0.0
210,37.2207,0,0.0
211,40.9427,0,0.0
212,45.037,0,0.0
213,49.5407,0,0.0
214,54.4948,0,0.0
