step,sheep,wolves,mean_theta
0,21.837,9,0.0741
1,23.8471,8,0.0803
2,26.049,7,0.0871
3,28.4647,6,0.0944
4,31.1191,5,0.1022
5,34.0415,4,0.1107
6,37.2662,4,0.1198
7,40.7801,4,0.1297
8,44.6065,3,0.1402
9,48.8442,3,0.1514
10,53.4652,3,0.1634
11,58.5009,2,0.1762
12,64.1069,2,0.1896
13,70.2297,2,0.2041
14,76.9139,2,0.2193
15,84.2071,2,0.2353
16,92.1611,2,0.252
17,100.8311,2,0.2694
18,110.2766,2,0.2874
19,120.5617,2,0.3061
20,131.7549,2,0.3253
21,143.93,2,0.3451
22,157.1661,3,0.3654
23,170.8807,3,0.386
24,185.6793,5,0.406
25,199.8949,7,0.4262
26,213.0455,10,0.4443
27,223.5677,16,0.4601
28,227.3486,27,0.4721
29,217.9243,44,0.4763
30,190.5941,71,0.4657
31,145.2616,105,0.4326
32,98.1284,131,0.3675
33,68.0833,138,0.2819
34,52.7703,134,0.214
35,44.4903,123,0.1743
36,39.8453,111,0.1511
37,37.1417,99,0.1375
38,35.624,87,0.1293
39,34.9343,77,0.1247
40,34.7999,68,0.1226
41,35.0992,60,0.1222
42,35.7572,53,0.1231
43,36.7244,47,0.1251
44,37.9649,41,0.1281
45,39.5041,37,0.1318
46,41.2605,33,0.1365
47,43.2648,29,0.1417
48,45.5552,26,0.1475
49,48.1025,24,0.1541
50,50.8636,22,0.1614
51,53.8691,20,0.1691
52,57.155,18,0.1773
53,60.7647,17,0.1861
54,64.6193,16,0.1955
55,68.7454,15,0.2054
56,73.1735,14,0.2157
57,77.9394,14,0.2264
58,82.8807,14,0.2377
59,87.9909,14,0.249
60,93.2623,14,0.2603
61,98.6863,14,0.2717
62,104.2537,15,0.283
63,109.6167,16,0.2943
64,114.6977,17,0.3048
65,119.4219,20,0.3145
66,122.8709,22,0.3233
67,125.3596,26,0.3295
68,125.9217,30,0.334
69,124.5946,35,0.335
70,121.099,41,0.3326
71,115.3864,47,0.3263
72,108.0865,52,0.3158
73,100.2334,57,0.3018
74,92.2708,61,0.2862
75,84.8069,63,0.2696
76,78.4008,64,0.2533
77,73.064,64,0.2387
78,68.7374,63,0.2262
79,65.3384,60,0.2157
80,62.9371,57,0.2072
81,61.2944,54,0.2011
82,60.2548,51,0.1969
83,59.7154,48,0.1942
84,59.6078,45,0.1928
85,59.8879,42,0.1925
86,60.5296,39,0.1933
87,61.5209,37,0.1949
88,62.7282,35,0.1975
89,64.1568,33,0.2006
90,65.8164,31,0.2042
91,67.7208,30,0.2084
92,69.7296,28,0.2131
93,72.0187,27,0.2181
94,74.4368,26,0.2236
95,76.9961,26,0.2294
96,79.5106,26,0.2355
97,81.9745,25,0.2413
98,84.6054,25,0.2469
99,87.1829,25,0.2529
100,89.7021,25,0.2586
101,92.1584,26,0.2641
102,94.2751,27,0.2693
103,96.0352,28,0.2738
104,97.4297,29,0.2775
105,98.4569,31,0.2804
106,98.8163,33,0.2826
107,98.5362,35,0.2833
108,97.6646,37,0.2827
109,96.2648,39,0.2809
110,94.4102,41,0.278
111,92.1794,43,0.2741
112,89.6517,44,0.2694
113,87.1636,45,0.264
114,84.7259,46,0.2585
115,82.3468,47,0.2531
116,80.033,47,0.2478
117,78.0023,47,0.2425
118,76.2123,47,0.2378
119,74.6282,46,0.2336
120,73.41,45,0.2299
121,72.5027,44,0.227
122,71.864,43,0.2248
123,71.4609,42,0.2233
124,71.2678,41,0.2223
125,71.2644,39,0.2218
126,71.6092,38,0.2218
127,72.1053,37,0.2227
128,72.7463,36,0.2239
129,73.5278,35,0.2254
130,74.447,34,0.2273
131,75.5029,33,0.2295
132,76.6957,33,0.232
133,77.8294,32,0.2348
134,79.1083,32,0.2374
135,80.3257,31,0.2404
136,81.6976,31,0.2432
137,83.0056,31,0.2463
138,84.2509,31,0.2493
139,85.4344,31,0.2521
140,86.5577,31,0.2547
141,87.6223,32,0.2572
142,88.3799,32,0.2595
143,89.0925,33,0.2612
144,89.5046,34,0.2627
145,89.6301,35,0.2636
146,89.4863,36,0.2639
147,89.0941,37,0.2636
148,88.4762,38,0.2627
149,87.6566,39,0.2614
150,86.6599,40,0.2596
151,85.5108,40,0.2574
152,84.4725,41,0.2549
153,83.2982,41,0.2526
154,82.2391,41,0.2499
155,81.2821,42,0.2475
156,80.1966,42,0.2454
157,79.2176,42,0.2429
158,78.3328,42,0.2406
159,77.532,42,0.2386
160,76.8061,41,0.2367
161,76.3457,41,0.235
162,75.9252,40,0.2339
163,75.7355,39,0.233
164,75.7548,38,0.2325
165,75.9664,38,0.2326
166,76.1628,37,0.233
167,76.5406,37,0.2335
168,76.8927,36,0.2344
169,77.4195,35,0.2352
170,78.1136,35,0.2365
171,78.7653,35,0.2381
172,79.3767,34,0.2396
173,80.1601,34,0.241
174,80.8972,34,0.2428
175,81.5901,34,0.2445
176,82.2408,34,0.2461
177,82.8512,34,0.2475
178,83.4234,34,0.2489
179,83.9593,34,0.2502
180,84.4609,34,0.2514
181,84.93,34,0.2525
182,85.3685,34,0.2536
183,85.778,35,0.2546
184,85.9194,35,0.2555
185,86.0506,36,0.2558
186,85.93,36,0.2561
187,85.8186,37,0.2558
188,85.4746,37,0.2556
189,85.1584,38,0.2548
190,84.6298,38,0.2541
191,84.1462,39,0.2529
192,83.4703,39,0.2518
193,82.8541,39,0.2503
194,82.2918,40,0.2489
195,81.554,40,0.2476
196,80.8828,40,0.246
197,80.2717,40,0.2444
198,79.7145,40,0.243
199,79.2061,40,0.2418
200,78.7417,40,0.2406
201,78.3172,40,0.2395
202,77.9289,39,0.2385
203,77.7771,39,0.2376
204,77.6374,38,0.2373
205,77.7112,38,0.237
206,77.7794,38,0.2371
207,77.8426,37,0.2373
208,78.1043,37,0.2374
209,78.3476,36,0.238
210,78.7793,36,0.2386
211,79.1821,36,0.2396
212,79.5579,35,0.2405
213,80.1194,35,0.2414
214,80.645,35,0.2427
215,81.1368,35,0.2439
216,81.5964,35,0.245
217,82.0258,35,0.2461
218,82.4267,35,0.247
219,82.8007,35,0.248
220,83.1495,35,0.2488
221,83.4745,35,0.2496
222,83.7773,35,0.2503
223,84.0593,35,0.251
224,84.3218,35,0.2516
225,84.566,36,0.2522
226,84.558,36,0.2528
227,84.5506,36,0.2527
228,84.5438,37,0.2527
229,84.3025,37,0.2527
230,84.0803,37,0.2522
231,83.8758,38,0.2517
232,83.4556,38,0.2512
233,83.0705,38,0.2503
234,82.7172,39,0.2494
235,82.1668,39,0.2486
236,81.6639,39,0.2474
237,81.2041,39,0.2462
238,80.7833,39,0.2452
239,80.398,39,0.2442
240,80.0449,39,0.2433
241,79.7212,39,0.2425
242,79.4242,39,0.2418
243,79.1516,39,0.2411
244,78.9013,39,0.2405
245,78.6714,38,0.2399
246,78.6672,38,0.2394
247,78.6633,38,0.2394
248,78.6597,37,0.2393
249,78.8635,37,0.2393
250,79.0527,37,0.2398
251,79.2282,36,0.2402
252,79.6009,36,0.2406
253,79.9482,36,0.2415
254,80.2717,36,0.2423
255,80.573,36,0.243
256,80.8534,36,0.2437
257,81.1142,36,0.2444
258,81.3568,35,0.245
259,81.802,35,0.2455
260,82.2178,35,0.2465
261,82.6058,35,0.2475
262,82.9677,35,0.2484
263,83.3052,35,0.2492
264,83.6196,35,0.2499
265,83.9124,35,0.2506
266,84.1851,36,0.2513
267,84.2055,36,0.2519
268,84.2245,36,0.252
269,84.242,37,0.252
270,84.0246,37,0.252
271,83.8245,37,0.2516
272,83.6402,38,0.2511
273,83.2397,38,0.2507
274,82.8724,38,0.2498
275,82.5354,38,0.249
276,82.2261,38,0.2482
277,81.942,39,0.2475
278,81.4584,39,0.2469
279,81.0161,39,0.2458
280,80.6112,39,0.2447
281,80.2403,39,0.2438
282,79.9004,39,0.243
283,79.5886,39,0.2422
284,79.3025,39,0.2415
285,79.0399,39,0.2408
286,78.7987,38,0.2402
287,78.7848,38,0.2397
288,78.7719,38,0.2396
289,78.7601,37,0.2396
290,78.9567,37,0.2396
291,79.1392,37,0.24
292,79.3085,36,0.2404
293,79.6757,36,0.2408
294,80.0179,36,0.2417
295,80.3366,36,0.2425
296,80.6334,36,0.2432
297,80.9096,36,0.2439
298,81.1665,36,0.2445
299,81.4054,36,0.2451
300,81.6275,36,0.2456
301,81.8338,36,0.2461
302,82.0254,36,0.2466
303,82.2034,36,0.247
304,82.3687,36,0.2474
305,82.522,36,0.2478
306,82.6643,36,0.2482
307,82.7964,36,0.2485
308,82.9188,36,0.2488
309,83.0324,36,0.2491
310,83.1377,36,0.2493
311,83.2353,36,0.2496
312,83.3258,36,0.2498
313,83.4097,36,0.25
314,83.4874,37,0.2502
315,83.3296,37,0.2503
316,83.184,37,0.25
317,83.0498,37,0.2497
318,82.926,38,0.2494
319,82.5847,38,0.2491
320,82.2713,38,0.2483
321,81.9835,38,0.2476
322,81.7191,38,0.247
323,81.476,38,0.2464
324,81.2525,38,0.2458
325,81.0469,38,0.2453
326,80.8576,38,0.2448
327,80.6834,38,0.2444
328,80.523,38,0.244
329,80.3753,38,0.2436
330,80.2392,38,0.2433
331,80.1138,38,0.243
332,79.9983,38,0.2427
333,79.8917,38,0.2424
334,79.7935,38,0.2422
335,79.7029,38,0.242
336,79.6194,38,0.2417
337,79.5423,37,0.2415
338,79.6824,37,0.2414
339,79.8123,37,0.2417
340,79.9328,37,0.242
341,80.0443,37,0.2423
342,80.1477,36,0.2425
343,80.4576,36,0.2428
344,80.746,36,0.2435
345,81.0143,36,0.2441
346,81.2639,36,0.2447
347,81.4959,36,0.2453
348,81.7116,36,0.2458
349,81.9119,36,0.2463
350,82.098,36,0.2468
351,82.2708,36,0.2472
352,82.4312,36,0.2476
353,82.5801,36,0.248
354,82.7182,36,0.2483
355,82.8463,36,0.2486
356,82.9652,36,0.2489
357,83.0754,36,0.2492
358,83.1775,36,0.2494
359,83.2723,36,0.2496
360,83.3601,37,0.2499
361,83.2121,37,0.2501
362,83.0757,37,0.2497
363,82.95,37,0.2494
364,82.8339,37,0.2491
365,82.7269,38,0.2489
366,82.4019,38,0.2486
367,82.1035,38,0.2479
368,81.8293,38,0.2472
369,81.5774,38,0.2466
370,81.3457,38,0.246
371,81.1326,38,0.2455
372,80.9365,38,0.245
373,80.7561,38,0.2446
374,80.5899,38,0.2442
375,80.4369,38,0.2438
376,80.296,38,0.2434
377,80.1662,38,0.2431
378,80.0465,38,0.2428
379,79.9362,38,0.2425
380,79.8345,38,0.2423
381,79.7407,38,0.242
382,79.6542,38,0.2418
383,79.5745,37,0.2416
384,79.7123,37,0.2414
385,79.84,37,0.2418
386,79.9584,37,0.2421
387,80.0681,37,0.2423
388,80.1697,36,0.2426
389,80.478,36,0.2428
390,80.765,36,0.2435
391,81.032,36,0.2442
392,81.2804,36,0.2448
393,81.5112,36,0.2454
394,81.7258,36,0.2459
395,81.9251,36,0.2464
396,82.1103,36,0.2468
397,82.2822,36,0.2472
398,82.4418,36,0.2476
399,82.5899,36,0.248
400,82.7273,36,0.2483
401,82.8548,36,0.2486
402,82.973,36,0.2489
403,83.0826,36,0.2492
404,83.1843,36,0.2494
405,83.2785,37,0.2497
406,83.1369,37,0.2499
407,83.0064,37,0.2496
