step,sheep,wolves,mean_theta
0,17,10,0.5
1,17.1577,10,0.0717
2,17.3167,10,0.0723
3,17.4771,10,0.073
4,17.6389,10,0.0736
5,17.8021,10,0.0742
6,17.9666,10,0.0749
7,18.1326,9,0.0755
8,18.3,9,0.0761
9,18.4702,9,0.0768
10,18.6419,9,0.0775
11,18.8151,9,0.0781
12,18.9898,9,0.0788
13,19.1659,9,0.0795
14,19.3436,9,0.0801
15,19.5229,8,0.0808
16,19.7036,8,0.0815
17,19.8876,8,0.0822
18,20.0731,8,0.0829
19,20.2603,8,0.0836
20,20.4491,8,0.0843
21,20.6395,8,0.085
22,20.8316,8,0.0858
23,21.0254,8,0.0865
24,21.2208,7,0.0872
25,21.418,7,0.088
26,21.6187,7,0.0887
27,21.8212,7,0.0895
28,22.0255,7,0.0902
29,22.2316,7,0.091
30,22.4395,7,0.0918
31,22.6492,7,0.0926
32,22.8607,7,0.0933
33,23.0741,7,0.0941
34,23.2894,6,0.0949
35,23.5065,6,0.0957
36,23.7278,6,0.0965
37,23.9511,6,0.0974
38,24.1764,6,0.0982
39,24.4036,6,0.099
40,24.6329,6,0.0999
41,24.8642,6,0.1007
42,25.0975,6,0.1015
43,25.3329,6,0.1024
44,25.5704,6,0.1033
45,25.81,6,0.1041
46,26.0517,6,0.105
47,26.2955,5,0.1059
48,26.5414,5,0.1068
49,26.7924,5,0.1077
50,27.0456,5,0.1086
51,27.3011,5,0.1095
52,27.5589,5,0.1104
53,27.819,5,0.1113
54,28.0814,5,0.1123
55,28.3462,5,0.1132
56,28.6133,5,0.1141
57,28.8828,5,0.1151
58,29.1547,5,0.1161
59,29.429,5,0.117
60,29.7058,5,0.118
61,29.985,5,0.119
62,30.2667,4,0.1199
63,30.5509,4,0.1209
64,30.8413,4,0.1219
65,31.1344,4,0.123
66,31.4302,4,0.124
67,31.7286,4,0.125
68,32.0297,4,0.126
69,32.3336,4,0.1271
70,32.6402,4,0.1281
71,32.9495,4,0.1292
72,33.2617,4,0.1303
73,33.5767,4,0.1313
74,33.8945,4,0.1324
75,34.2151,4,0.1335
76,34.5387,4,0.1346
77,34.8651,4,0.1357
78,35.1945,4,0.1368
79,35.5269,4,0.1379
80,35.8622,4,0.139
81,36.2005,4,0.1402
82,36.5418,4,0.1413
83,36.8862,4,0.1424
84,37.2337,3,0.1436
85,37.5842,3,0.1447
86,37.9435,3,0.1459
87,38.306,3,0.1471
88,38.6718,3,0.1483
89,39.041,3,0.1495
90,39.4136,3,0.1507
91,39.7896,3,0.1519
92,40.169,3,0.1532
93,40.5519,3,0.1544
94,40.9383,3,0.1556
95,41.3283,3,0.1569
96,41.7217,3,0.1581
97,42.1188,3,0.1594
98,42.5195,3,0.1607
99,42.9238,3,0.162
100,43.3318,3,0.1633
101,43.7435,3,0.1646
