step,sheep,wolves,mean_theta
0,10.8483,9,0.1379
1,11.7743,8,0.1479
2,12.7874,7,0.1585
3,13.8989,6,0.1698
4,15.1219,5,0.1819
5,16.4721,4,0.1948
6,17.9681,4,0.2086
7,19.5884,3,0.2233
8,21.393,3,0.2386
9,23.3523,3,0.255
10,25.4779,2,0.272
11,27.8634,2,0.2896
12,30.4607,2,0.3083
13,33.2872,2,0.3277
14,36.3614,2,0.3475
15,39.7033,2,0.3678
16,43.3343,2,0.3885
17,47.2774,2,0.4095
18,51.5572,2,0.4307
19,56.2002,2,0.452
20,61.2348,2,0.4735
21,66.6916,2,0.4949
22,72.6034,2,0.5162
23,79.0053,2,0.5374
24,85.9354,2,0.5583
25,93.4345,2,0.5789
26,101.5462,3,0.5992
27,109.6265,4,0.619
28,117.5171,5,0.6369
29,125.0494,7,0.6528
30,131.1343,11,0.6668
31,133.502,16,0.6772
32,130.8482,25,0.6811
33,119.5814,38,0.6767
34,98.712,54,0.6567
35,72.6803,71,0.6123
36,49.4293,81,0.5377
37,34.9229,82,0.4416
38,27.1233,78,0.3585
39,22.7927,72,0.3026
40,20.248,64,0.2672
41,18.7848,57,0.2447
42,17.9413,50,0.2311
43,17.5346,44,0.223
44,17.4287,39,0.2191
45,17.5412,34,0.2181
46,17.8576,30,0.2192
47,18.3338,26,0.2222
48,18.9779,23,0.2268
49,19.7573,21,0.2329
50,20.6368,18,0.2402
51,21.6862,16,0.2482
52,22.8717,14,0.2576
53,24.2152,13,0.2679
54,25.6697,12,0.2793
55,27.2502,11,0.2911
56,28.9741,10,0.3036
57,30.862,9,0.3167
58,32.9382,8,0.3306
59,35.2316,8,0.3451
60,37.6371,7,0.3605
61,40.3116,7,0.3759
62,43.1257,7,0.3921
63,46.0825,6,0.4083
64,49.3999,6,0.4244
65,52.9006,6,0.4415
66,56.5901,6,0.4584
67,60.4743,6,0.4752
68,64.559,6,0.4918
69,68.8499,7,0.5081
70,72.956,8,0.5242
71,76.7938,9,0.5386
72,80.2818,11,0.5513
73,82.848,13,0.5623
74,84.3799,15,0.57
75,84.8196,19,0.5745
76,83.095,23,0.5758
77,79.4061,27,0.5707
78,74.15,32,0.5596
79,67.402,37,0.5426
80,59.9083,41,0.5189
81,52.6758,44,0.4894
82,46.2832,46,0.4574
83,40.9475,46,0.4255
84,36.8409,45,0.3958
85,33.762,43,0.3709
86,31.5372,40,0.3507
87,30.0372,38,0.3354
88,28.9654,35,0.3246
89,28.3304,32,0.3167
90,28.0531,29,0.3119
91,28.086,27,0.3098
92,28.3083,24,0.31
93,28.8094,22,0.3117
94,29.4906,21,0.3155
95,30.2558,19,0.3206
96,31.2187,17,0.3262
97,32.3959,16,0.3331
98,33.689,15,0.3414
99,35.1111,14,0.3502
100,36.6772,13,0.3597
101,38.4053,13,0.3698
102,40.1556,12,0.3806
103,42.0977,12,0.3912
104,44.071,12,0.4025
105,46.0724,11,0.4135
106,48.314,11,0.4243
107,50.5966,11,0.436
108,52.9173,11,0.4474
109,55.2734,11,0.4585
110,57.6618,12,0.4693
111,59.7756,12,0.4799
112,61.8958,13,0.4889
113,63.6814,14,0.4976
114,65.1001,15,0.5047
115,66.1299,17,0.5102
116,66.3853,19,0.5141
117,65.8774,21,0.5151
118,64.6561,23,0.5132
119,62.8041,25,0.5085
120,60.4279,27,0.5012
121,57.6484,29,0.4916
122,54.5896,31,0.4798
123,51.3699,32,0.4662
124,48.3495,33,0.4511
125,45.5292,33,0.4362
126,43.1167,33,0.4215
127,41.0389,33,0.4082
128,39.2381,32,0.3964
129,37.835,31,0.3857
130,36.7534,30,0.3771
131,35.9376,29,0.3703
132,35.346,27,0.3651
133,35.0884,26,0.3612
134,34.989,24,0.3596
135,35.1727,23,0.3589
136,35.4854,22,0.3601
137,35.924,20,0.3622
138,36.6318,19,0.365
139,37.4658,18,0.3695
140,38.4322,18,0.3748
141,39.3779,17,0.3808
142,40.4694,16,0.3865
143,41.717,16,0.393
144,42.9497,15,0.4003
145,44.3583,15,0.4073
146,45.7558,15,0.4151
147,47.1404,15,0.4227
148,48.5102,15,0.43
149,49.8635,15,0.437
150,51.1987,15,0.4438
151,52.5145,15,0.4503
152,53.8097,15,0.4566
153,55.083,16,0.4626
154,56.0498,16,0.4685
155,56.9907,17,0.4728
156,57.6069,18,0.4769
157,57.8968,19,0.4796
158,57.8676,20,0.4809
159,57.5339,21,0.4808
160,56.917,22,0.4793
161,56.0437,24,0.4766
162,54.6532,25,0.4728
163,53.1071,26,0.4665
164,51.4405,27,0.4594
165,49.6871,27,0.4515
166,48.12,28,0.4429
167,46.4848,28,0.435
168,45.0266,28,0.4265
169,43.7219,28,0.4187
170,42.5512,28,0.4116
171,41.4978,28,0.4051
172,40.5475,27,0.399
173,39.8637,26,0.3935
174,39.4101,25,0.3894
175,39.16,24,0.3867
176,39.0937,23,0.3852
177,39.197,23,0.3848
178,39.2945,22,0.3854
179,39.5532,21,0.386
180,39.9673,20,0.3876
181,40.5344,20,0.3901
182,41.0796,19,0.3934
183,41.7825,18,0.3966
184,42.6461,18,0.4007
185,43.4859,18,0.4056
186,44.3017,17,0.4103
187,45.2955,17,0.4148
188,46.2659,17,0.4202
189,47.2122,17,0.4254
190,48.1342,17,0.4303
191,49.0315,17,0.4351
192,49.9038,17,0.4396
193,50.7511,17,0.444
194,51.5732,17,0.4481
195,52.3703,17,0.4521
196,53.1425,18,0.4559
197,53.6214,18,0.4595
198,54.0809,19,0.4618
199,54.2457,20,0.4639
200,54.1251,21,0.4646
201,53.7351,21,0.4641
202,53.3702,22,0.4623
203,52.7582,23,0.4606
204,51.9242,24,0.4577
205,50.8961,24,0.4538
206,49.9549,25,0.4488
207,48.8479,25,0.4442
208,47.8396,26,0.4387
209,46.6914,26,0.4336
210,45.6503,26,0.4276
211,44.7044,26,0.4221
212,43.8433,26,0.417
213,43.058,26,0.4123
214,42.3405,25,0.4079
215,41.8722,25,0.4039
216,41.4399,24,0.4012
217,41.2221,24,0.3987
218,41.0193,23,0.3974
219,41.009,22,0.3962
220,41.178,22,0.3962
221,41.338,21,0.3972
222,41.6703,21,0.3981
223,41.9868,20,0.4
224,42.4736,20,0.4018
225,42.9402,19,0.4046
226,43.5794,19,0.4072
227,44.1955,18,0.4108
228,44.9904,18,0.4142
229,45.7609,18,0.4186
230,46.5071,18,0.4227
231,47.2291,18,0.4266
232,47.927,18,0.4304
233,48.6011,18,0.434
234,49.2517,18,0.4375
235,49.879,18,0.4407
236,50.4834,18,0.4438
237,51.0654,18,0.4468
238,51.6255,19,0.4497
239,51.9073,19,0.4524
240,52.1759,20,0.4537
241,52.1708,20,0.455
242,52.166,21,0.455
243,51.9005,21,0.4549
244,51.6514,22,0.4537
245,51.1607,22,0.4525
246,50.7039,23,0.4501
247,50.0286,23,0.4479
248,49.4042,24,0.4446
249,48.5865,24,0.4415
250,47.835,24,0.4374
251,47.1435,24,0.4335
252,46.5065,24,0.43
253,45.9189,24,0.4266
254,45.3765,24,0.4235
255,44.8752,24,0.4206
256,44.4115,24,0.4179
257,43.9822,24,0.4154
258,43.5844,24,0.413
259,43.2155,24,0.4108
260,42.8732,24,0.4088
261,42.5553,23,0.4069
262,42.4496,23,0.4051
263,42.3506,22,0.4045
264,42.446,22,0.4039
265,42.5361,21,0.4045
266,42.8105,21,0.405
267,43.0714,20,0.4065
268,43.5126,20,0.408
269,43.9348,20,0.4104
270,44.3384,19,0.4128
271,44.9265,19,0.415
272,45.4923,19,0.4182
273,46.0363,19,0.4213
274,46.5589,19,0.4242
275,47.0605,19,0.4269
276,47.5418,19,0.4295
277,48.0032,19,0.432
278,48.4452,19,0.4344
279,48.8686,19,0.4367
280,49.2737,19,0.4388
281,49.6613,19,0.4408
282,50.0318,19,0.4428
283,50.386,19,0.4446
284,50.7243,20,0.4463
285,50.7973,20,0.448
286,50.8665,20,0.4484
287,50.932,21,0.4487
288,50.7425,21,0.449
289,50.5645,22,0.4481
290,50.1485,22,0.4472
291,49.7607,23,0.4452
292,49.1563,23,0.4433
293,48.5968,23,0.4402
294,48.0783,23,0.4374
295,47.5975,24,0.4348
296,46.9248,24,0.4323
297,46.3048,24,0.4288
298,45.7328,24,0.4256
299,45.2046,24,0.4225
300,44.7162,24,0.4197
301,44.2643,24,0.4171
302,43.8459,24,0.4146
303,43.458,23,0.4123
304,43.2943,23,0.4101
305,43.1412,23,0.4092
306,42.9981,22,0.4084
307,43.0568,22,0.4076
308,43.1123,21,0.4079
309,43.3581,21,0.4082
310,43.5916,21,0.4096
311,43.8133,20,0.4109
312,44.2223,20,0.4121
313,44.6132,20,0.4144
314,44.9865,20,0.4165
315,45.3429,19,0.4185
316,45.8927,19,0.4205
317,46.421,19,0.4234
318,46.9282,19,0.4262
319,47.4149,19,0.4288
320,47.8815,19,0.4314
321,48.3287,19,0.4338
322,48.757,19,0.4361
323,49.1669,19,0.4382
